DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,감자,감자(전체),20kg,중품,17800,-,16600
2015-01-05 00:00:00,감자,감자(전체),20kg,중품,17800,-,-
2015-01-06 00:00:00,감자,감자(전체),20kg,중품,18000,17800,20200
2015-01-07 00:00:00,감자,감자(전체),20kg,중품,19000,18000,20600
2015-01-08 00:00:00,감자,감자(전체),20kg,중품,19000,19000,20400
2015-01-09 00:00:00,감자,감자(전체),20kg,중품,19000,19000,20700
2015-01-12 00:00:00,감자,감자(전체),20kg,중품,19000,-,-
2015-01-13 00:00:00,감자,감자(전체),20kg,중품,19000,19000,21400
2015-01-14 00:00:00,감자,감자(전체),20kg,중품,19000,19000,21400
2015-01-15 00:00:00,감자,감자(전체),20kg,중품,19000,19000,21400
2015-01-16 00:00:00,감자,감자(전체),20kg,중품,19000,19000,21400
2015-01-19 00:00:00,감자,감자(전체),20kg,중품,30000,-,-
2015-01-20 00:00:00,감자,감자(전체),20kg,중품,30300,30000,21400
2015-01-21 00:00:00,감자,감자(전체),20kg,중품,29900,30300,22000
2015-01-22 00:00:00,감자,감자(전체),20kg,중품,29900,29900,22000
2015-01-23 00:00:00,감자,감자(전체),20kg,중품,29900,29900,21800
2015-01-26 00:00:00,감자,감자(전체),20kg,중품,30800,-,-
2015-01-27 00:00:00,감자,감자(전체),20kg,중품,30300,30800,21600
2015-01-28 00:00:00,감자,감자(전체),20kg,중품,30700,30300,21600
2015-01-29 00:00:00,감자,감자(전체),20kg,중품,30700,30700,21600
2015-01-30 00:00:00,감자,감자(전체),20kg,중품,30600,30700,-
2015-02-02 00:00:00,감자,감자(전체),20kg,중품,31100,-,-
2015-02-03 00:00:00,감자,감자(전체),20kg,중품,31700,31100,21600
2015-02-04 00:00:00,감자,감자(전체),20kg,중품,31800,31700,21700
2015-02-05 00:00:00,감자,감자(전체),20kg,중품,32100,31800,21700
2015-02-06 00:00:00,감자,감자(전체),20kg,중품,33100,32100,21700
2015-02-09 00:00:00,감자,감자(전체),20kg,중품,33100,-,-
2015-02-10 00:00:00,감자,감자(전체),20kg,중품,34000,33100,23500
2015-02-11 00:00:00,감자,감자(전체),20kg,중품,34300,34000,24300
2015-02-12 00:00:00,감자,감자(전체),20kg,중품,34200,34300,24300
2015-02-13 00:00:00,감자,감자(전체),20kg,중품,34400,34200,24300
2015-02-16 00:00:00,감자,감자(전체),20kg,중품,34400,-,-
2015-02-17 00:00:00,감자,감자(전체),20kg,중품,34500,34400,24700
2015-02-23 00:00:00,감자,감자(전체),20kg,중품,34500,-,-
2015-02-24 00:00:00,감자,감자(전체),20kg,중품,34200,34500,23200
2015-02-25 00:00:00,감자,감자(전체),20kg,중품,34700,34200,23200
2015-02-26 00:00:00,감자,감자(전체),20kg,중품,35400,34700,22400
2015-02-27 00:00:00,감자,감자(전체),20kg,중품,35900,35400,22400
2015-03-02 00:00:00,감자,감자(전체),20kg,중품,36900,-,-
2015-03-03 00:00:00,감자,감자(전체),20kg,중품,36900,36900,20900
2015-03-04 00:00:00,감자,감자(전체),20kg,중품,37300,36900,20800
2015-03-05 00:00:00,감자,감자(전체),20kg,중품,37300,37300,20800
2015-03-06 00:00:00,감자,감자(전체),20kg,중품,37300,37300,20800
2015-03-09 00:00:00,감자,감자(전체),20kg,중품,37300,-,-
2015-03-10 00:00:00,감자,감자(전체),20kg,중품,37300,37300,21400
2015-03-11 00:00:00,감자,감자(전체),20kg,중품,37500,37300,21800
2015-03-12 00:00:00,감자,감자(전체),20kg,중품,37500,37500,22300
2015-03-13 00:00:00,감자,감자(전체),20kg,중품,37500,37500,22300
2015-03-16 00:00:00,감자,감자(전체),20kg,중품,37300,-,-
2015-03-17 00:00:00,감자,감자(전체),20kg,중품,37300,37300,23600
2015-03-18 00:00:00,감자,감자(전체),20kg,중품,38000,37300,23500
2015-03-19 00:00:00,감자,감자(전체),20kg,중품,38000,38000,23500
2015-03-20 00:00:00,감자,감자(전체),20kg,중품,38000,38000,23500
2015-03-23 00:00:00,감자,감자(전체),20kg,중품,37900,-,-
2015-03-24 00:00:00,감자,감자(전체),20kg,중품,37500,37900,22800
2015-03-25 00:00:00,감자,감자(전체),20kg,중품,37500,37500,22800
2015-03-26 00:00:00,감자,감자(전체),20kg,중품,37500,37500,22500
2015-03-27 00:00:00,감자,감자(전체),20kg,중품,37100,37500,22500
2015-03-30 00:00:00,감자,감자(전체),20kg,중품,36500,-,-
2015-03-31 00:00:00,감자,감자(전체),20kg,중품,37100,36500,22500
2015-04-01 00:00:00,감자,감자(전체),20kg,중품,37500,37100,22500
2015-04-02 00:00:00,감자,감자(전체),20kg,중품,37500,37500,22500
2015-04-03 00:00:00,감자,감자(전체),20kg,중품,37500,37500,22500
2015-04-06 00:00:00,감자,감자(전체),20kg,중품,37500,-,-
2015-04-07 00:00:00,감자,감자(전체),20kg,중품,37500,37500,21700
2015-04-08 00:00:00,감자,감자(전체),20kg,중품,37500,37500,21500
2015-04-09 00:00:00,감자,감자(전체),20kg,중품,37500,37500,21600
2015-04-10 00:00:00,감자,감자(전체),20kg,중품,38200,37500,21600
2015-04-13 00:00:00,감자,감자(전체),20kg,중품,33200,-,-
2015-04-14 00:00:00,감자,감자(전체),20kg,중품,33200,33200,15200
2015-04-15 00:00:00,감자,감자(전체),20kg,중품,33800,33200,15200
2015-04-16 00:00:00,감자,감자(전체),20kg,중품,37000,33800,15600
2015-04-17 00:00:00,감자,감자(전체),20kg,중품,39000,37000,16000
2015-04-20 00:00:00,감자,감자(전체),20kg,중품,40000,-,-
2015-04-21 00:00:00,감자,감자(전체),20kg,중품,40600,40000,16400
2015-04-22 00:00:00,감자,감자(전체),20kg,중품,40200,40600,16400
2015-04-23 00:00:00,감자,감자(전체),20kg,중품,41200,40200,16800
2015-04-24 00:00:00,감자,감자(전체),20kg,중품,41600,41200,16800
2015-04-27 00:00:00,감자,감자(전체),20kg,중품,42200,-,-
2015-04-28 00:00:00,감자,감자(전체),20kg,중품,42200,42200,16400
2015-04-29 00:00:00,감자,감자(전체),20kg,중품,41800,42200,16400
2015-04-30 00:00:00,감자,감자(전체),20kg,중품,40600,41800,17200
2015-05-04 00:00:00,감자,감자(전체),20kg,중품,41200,-,-
2015-05-06 00:00:00,감자,감자(전체),20kg,중품,41600,-,-
2015-05-07 00:00:00,감자,감자(전체),20kg,중품,42000,41600,17800
2015-05-08 00:00:00,감자,감자(전체),20kg,중품,42000,42000,17800
2015-05-11 00:00:00,감자,감자(전체),20kg,중품,43000,-,-
2015-05-12 00:00:00,감자,감자(전체),20kg,중품,43000,43000,21200
2015-05-13 00:00:00,감자,감자(전체),20kg,중품,45600,43000,21200
2015-05-14 00:00:00,감자,감자(전체),20kg,중품,45600,45600,21200
2015-05-15 00:00:00,감자,감자(전체),20kg,중품,45600,45600,21200
2015-05-18 00:00:00,감자,감자(전체),20kg,중품,50800,-,-
2015-05-19 00:00:00,감자,감자(전체),20kg,중품,52400,50800,21200
2015-05-20 00:00:00,감자,감자(전체),20kg,중품,52800,52400,21200
2015-05-21 00:00:00,감자,감자(전체),20kg,중품,54000,52800,21200
2015-05-22 00:00:00,감자,감자(전체),20kg,중품,55400,54000,21200
2015-05-26 00:00:00,감자,감자(전체),20kg,중품,48000,-,20800
2015-05-27 00:00:00,감자,감자(전체),20kg,중품,47400,48000,20800
2015-05-28 00:00:00,감자,감자(전체),20kg,중품,43400,47400,20800
2015-05-29 00:00:00,감자,감자(전체),20kg,중품,40400,43400,20000
2015-06-01 00:00:00,감자,감자(전체),20kg,중품,38800,-,-
2015-06-02 00:00:00,감자,감자(전체),20kg,중품,39000,38800,19800
2015-06-03 00:00:00,감자,감자(전체),20kg,중품,37400,39000,19800
2015-06-04 00:00:00,감자,감자(전체),20kg,중품,37400,37400,-
2015-06-05 00:00:00,감자,감자(전체),20kg,중품,35400,37400,20600
2015-06-08 00:00:00,감자,감자(전체),20kg,중품,32000,-,-
2015-06-09 00:00:00,감자,감자(전체),20kg,중품,31000,32000,19800
2015-06-10 00:00:00,감자,감자(전체),20kg,중품,31000,31000,18800
2015-06-11 00:00:00,감자,감자(전체),20kg,중품,29800,31000,18200
2015-06-12 00:00:00,감자,감자(전체),20kg,중품,28000,29800,18200
2015-06-15 00:00:00,감자,감자(전체),20kg,중품,27800,-,-
2015-06-16 00:00:00,감자,감자(전체),20kg,중품,26800,27800,17200
2015-06-17 00:00:00,감자,감자(전체),20kg,중품,26400,26800,16000
2015-06-18 00:00:00,감자,감자(전체),20kg,중품,26400,26400,16000
2015-06-19 00:00:00,감자,감자(전체),20kg,중품,26200,26400,15600
2015-06-22 00:00:00,감자,감자(전체),20kg,중품,25400,-,-
2015-06-23 00:00:00,감자,감자(전체),20kg,중품,25400,25400,15400
2015-06-24 00:00:00,감자,감자(전체),20kg,중품,25400,25400,15800
2015-06-25 00:00:00,감자,감자(전체),20kg,중품,25400,25400,16200
2015-06-26 00:00:00,감자,감자(전체),20kg,중품,25000,25400,16200
