DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,738.8888888888889,-,670
2015-01-05 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,738.8888888888889,-,-
2015-01-06 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,734.4444444444445,738.8888888888889,670
2015-01-07 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,734.4444444444445,734.4444444444445,670
2015-01-08 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,738.3333333333334,734.4444444444445,670
2015-01-09 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,738.3333333333334,738.3333333333334,670
2015-01-12 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,738.3333333333334,-,-
2015-01-13 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,738.3333333333334,738.3333333333334,670
2015-01-14 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,735,738.3333333333334,670
2015-01-15 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,755.5555555555555,735,670
2015-01-16 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,758.3333333333334,755.5555555555555,670
2015-01-19 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,726.6666666666666,-,-
2015-01-20 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,728.3333333333334,726.6666666666666,670
2015-01-21 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,738.3333333333334,728.3333333333334,670
2015-01-22 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,740,738.3333333333334,670
2015-01-23 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,740,740,705.7142857142857
2015-01-26 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,740,-,-
2015-01-27 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,741.6666666666666,740,715
2015-01-28 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,725,741.6666666666666,729.2857142857143
2015-01-29 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,741.1111111111111,725,750.7142857142857
2015-01-30 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,746.6666666666666,741.1111111111111,-
2015-02-02 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,746.6666666666666,-,-
2015-02-03 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,746.6666666666666,746.6666666666666,761
2015-02-04 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,746.6666666666666,746.6666666666666,733
2015-02-05 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,752.2222222222222,746.6666666666666,733
2015-02-06 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,757.7777777777778,752.2222222222222,721
2015-02-09 00:00:00,느타리버섯,느타리버섯(전체),100g,중품,757.7777777777778,-,-
