DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,딸기,딸기(전체),2kg,상품,29200,-,26800
2015-01-05 00:00:00,딸기,딸기(전체),2kg,상품,29200,-,-
2015-01-06 00:00:00,딸기,딸기(전체),2kg,상품,28000,29200,26800
2015-01-07 00:00:00,딸기,딸기(전체),2kg,상품,26400,28000,26800
2015-01-08 00:00:00,딸기,딸기(전체),2kg,상품,26000,26400,29200
2015-01-09 00:00:00,딸기,딸기(전체),2kg,상품,26000,26000,28000
2015-01-12 00:00:00,딸기,딸기(전체),2kg,상품,23200,-,-
2015-01-13 00:00:00,딸기,딸기(전체),2kg,상품,22800,23200,24000
2015-01-14 00:00:00,딸기,딸기(전체),2kg,상품,22800,22800,24000
2015-01-15 00:00:00,딸기,딸기(전체),2kg,상품,23200,22800,24000
2015-01-16 00:00:00,딸기,딸기(전체),2kg,상품,23200,23200,24800
2015-01-19 00:00:00,딸기,딸기(전체),2kg,상품,24800,-,-
2015-01-20 00:00:00,딸기,딸기(전체),2kg,상품,25600,24800,25600
2015-01-21 00:00:00,딸기,딸기(전체),2kg,상품,25600,25600,25600
2015-01-22 00:00:00,딸기,딸기(전체),2kg,상품,25200,25600,26000
2015-01-23 00:00:00,딸기,딸기(전체),2kg,상품,26000,25200,26000
2015-01-26 00:00:00,딸기,딸기(전체),2kg,상품,26000,-,-
2015-01-27 00:00:00,딸기,딸기(전체),2kg,상품,25200,26000,29600
2015-01-28 00:00:00,딸기,딸기(전체),2kg,상품,25200,25200,29600
2015-01-29 00:00:00,딸기,딸기(전체),2kg,상품,25200,25200,29600
2015-01-30 00:00:00,딸기,딸기(전체),2kg,상품,24400,25200,-
2015-02-02 00:00:00,딸기,딸기(전체),2kg,상품,24400,-,-
2015-02-03 00:00:00,딸기,딸기(전체),2kg,상품,24400,24400,28400
2015-02-04 00:00:00,딸기,딸기(전체),2kg,상품,24000,24400,22800
2015-02-05 00:00:00,딸기,딸기(전체),2kg,상품,23200,24000,22800
2015-02-06 00:00:00,딸기,딸기(전체),2kg,상품,23600,23200,22400
2015-02-09 00:00:00,딸기,딸기(전체),2kg,상품,23600,-,-
2015-02-10 00:00:00,딸기,딸기(전체),2kg,상품,23600,23600,21600
