DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,딸기,딸기(전체),2kg,중품,23600,-,19200
2015-01-05 00:00:00,딸기,딸기(전체),2kg,중품,23600,-,-
2015-01-06 00:00:00,딸기,딸기(전체),2kg,중품,22000,23600,19200
2015-01-07 00:00:00,딸기,딸기(전체),2kg,중품,21200,22000,19200
2015-01-08 00:00:00,딸기,딸기(전체),2kg,중품,20800,21200,21600
2015-01-09 00:00:00,딸기,딸기(전체),2kg,중품,20800,20800,20400
2015-01-12 00:00:00,딸기,딸기(전체),2kg,중품,18800,-,-
2015-01-13 00:00:00,딸기,딸기(전체),2kg,중품,18400,18800,17600
2015-01-14 00:00:00,딸기,딸기(전체),2kg,중품,18400,18400,17600
2015-01-15 00:00:00,딸기,딸기(전체),2kg,중품,18800,18400,17600
2015-01-16 00:00:00,딸기,딸기(전체),2kg,중품,18800,18800,18400
2015-01-19 00:00:00,딸기,딸기(전체),2kg,중품,20000,-,-
2015-01-20 00:00:00,딸기,딸기(전체),2kg,중품,20400,20000,19200
2015-01-21 00:00:00,딸기,딸기(전체),2kg,중품,20400,20400,19200
2015-01-22 00:00:00,딸기,딸기(전체),2kg,중품,20000,20400,19600
2015-01-23 00:00:00,딸기,딸기(전체),2kg,중품,20800,20000,19600
2015-01-26 00:00:00,딸기,딸기(전체),2kg,중품,20800,-,-
2015-01-27 00:00:00,딸기,딸기(전체),2kg,중품,20400,20800,22800
2015-01-28 00:00:00,딸기,딸기(전체),2kg,중품,20400,20400,22800
2015-01-29 00:00:00,딸기,딸기(전체),2kg,중품,20400,20400,22800
2015-01-30 00:00:00,딸기,딸기(전체),2kg,중품,19600,20400,-
2015-02-02 00:00:00,딸기,딸기(전체),2kg,중품,19600,-,-
2015-02-03 00:00:00,딸기,딸기(전체),2kg,중품,19600,19600,21600
2015-02-04 00:00:00,딸기,딸기(전체),2kg,중품,19200,19600,17200
2015-02-05 00:00:00,딸기,딸기(전체),2kg,중품,18800,19200,17200
2015-02-06 00:00:00,딸기,딸기(전체),2kg,중품,19200,18800,16800
2015-02-09 00:00:00,딸기,딸기(전체),2kg,중품,19200,-,-
2015-02-10 00:00:00,딸기,딸기(전체),2kg,중품,19200,19200,16000
2015-02-11 00:00:00,딸기,딸기(전체),2kg,중품,19200,19200,16800
2015-02-12 00:00:00,딸기,딸기(전체),2kg,중품,19200,19200,18000
2015-02-13 00:00:00,딸기,딸기(전체),2kg,중품,19200,19200,20000
2015-02-16 00:00:00,딸기,딸기(전체),2kg,중품,21600,-,-
2015-02-17 00:00:00,딸기,딸기(전체),2kg,중품,22000,21600,16800
2015-02-23 00:00:00,딸기,딸기(전체),2kg,중품,20000,-,-
2015-02-24 00:00:00,딸기,딸기(전체),2kg,중품,16800,20000,15600
2015-02-25 00:00:00,딸기,딸기(전체),2kg,중품,16400,16800,15200
2015-02-26 00:00:00,딸기,딸기(전체),2kg,중품,16000,16400,14400
2015-02-27 00:00:00,딸기,딸기(전체),2kg,중품,16400,16000,14000
2015-03-02 00:00:00,딸기,딸기(전체),2kg,중품,16400,-,-
2015-03-03 00:00:00,딸기,딸기(전체),2kg,중품,16400,16400,14800
2015-03-04 00:00:00,딸기,딸기(전체),2kg,중품,15600,16400,14800
2015-03-05 00:00:00,딸기,딸기(전체),2kg,중품,15600,15600,14800
2015-03-06 00:00:00,딸기,딸기(전체),2kg,중품,16000,15600,14800
2015-03-09 00:00:00,딸기,딸기(전체),2kg,중품,15200,-,-
2015-03-10 00:00:00,딸기,딸기(전체),2kg,중품,14000,15200,14400
2015-03-11 00:00:00,딸기,딸기(전체),2kg,중품,13200,14000,14400
2015-03-12 00:00:00,딸기,딸기(전체),2kg,중품,13200,13200,14400
2015-03-13 00:00:00,딸기,딸기(전체),2kg,중품,12400,13200,14000
2015-03-16 00:00:00,딸기,딸기(전체),2kg,중품,12400,-,-
2015-03-17 00:00:00,딸기,딸기(전체),2kg,중품,12800,12400,14000
2015-03-18 00:00:00,딸기,딸기(전체),2kg,중품,12400,12800,14000
2015-03-19 00:00:00,딸기,딸기(전체),2kg,중품,12400,12400,14000
2015-03-20 00:00:00,딸기,딸기(전체),2kg,중품,13200,12400,14000
2015-03-23 00:00:00,딸기,딸기(전체),2kg,중품,13800,-,-
2015-03-24 00:00:00,딸기,딸기(전체),2kg,중품,13800,13800,13600
2015-03-25 00:00:00,딸기,딸기(전체),2kg,중품,13600,13800,13600
2015-03-26 00:00:00,딸기,딸기(전체),2kg,중품,13600,13600,13600
2015-03-27 00:00:00,딸기,딸기(전체),2kg,중품,14000,13600,13600
2015-03-30 00:00:00,딸기,딸기(전체),2kg,중품,13200,-,-
2015-03-31 00:00:00,딸기,딸기(전체),2kg,중품,12800,13200,12000
2015-04-01 00:00:00,딸기,딸기(전체),2kg,중품,11800,12800,10000
2015-04-02 00:00:00,딸기,딸기(전체),2kg,중품,11800,11800,10800
2015-04-03 00:00:00,딸기,딸기(전체),2kg,중품,11800,11800,11200
2015-04-06 00:00:00,딸기,딸기(전체),2kg,중품,11800,-,-
2015-04-07 00:00:00,딸기,딸기(전체),2kg,중품,11800,11800,11600
2015-04-08 00:00:00,딸기,딸기(전체),2kg,중품,11800,11800,12400
2015-04-09 00:00:00,딸기,딸기(전체),2kg,중품,12600,11800,12400
2015-04-10 00:00:00,딸기,딸기(전체),2kg,중품,14000,12600,12400
2015-04-13 00:00:00,딸기,딸기(전체),2kg,중품,12400,-,-
2015-04-14 00:00:00,딸기,딸기(전체),2kg,중품,12000,12400,12000
2015-04-15 00:00:00,딸기,딸기(전체),2kg,중품,12000,12000,11200
2015-04-16 00:00:00,딸기,딸기(전체),2kg,중품,12400,12000,11200
2015-04-17 00:00:00,딸기,딸기(전체),2kg,중품,12400,12400,11200
2015-04-20 00:00:00,딸기,딸기(전체),2kg,중품,12400,-,-
2015-04-21 00:00:00,딸기,딸기(전체),2kg,중품,12400,12400,11200
2015-04-22 00:00:00,딸기,딸기(전체),2kg,중품,12400,12400,11200
2015-04-23 00:00:00,딸기,딸기(전체),2kg,중품,12400,12400,11200
2015-04-24 00:00:00,딸기,딸기(전체),2kg,중품,12400,12400,11200
2015-04-27 00:00:00,딸기,딸기(전체),2kg,중품,12400,-,-
2015-04-28 00:00:00,딸기,딸기(전체),2kg,중품,11400,12400,10400
2015-04-29 00:00:00,딸기,딸기(전체),2kg,중품,10400,11400,10800
2015-04-30 00:00:00,딸기,딸기(전체),2kg,중품,10000,10400,10800
2015-05-04 00:00:00,딸기,딸기(전체),2kg,중품,10000,-,-
2015-05-06 00:00:00,딸기,딸기(전체),2kg,중품,9600,-,-
2015-05-07 00:00:00,딸기,딸기(전체),2kg,중품,9600,9600,11200
2015-05-08 00:00:00,딸기,딸기(전체),2kg,중품,9600,9600,11200
2015-05-11 00:00:00,딸기,딸기(전체),2kg,중품,9600,-,-
2015-05-12 00:00:00,딸기,딸기(전체),2kg,중품,9800,9600,11200
2015-05-13 00:00:00,딸기,딸기(전체),2kg,중품,9800,9800,11200
2015-05-14 00:00:00,딸기,딸기(전체),2kg,중품,9800,9800,11200
2015-05-15 00:00:00,딸기,딸기(전체),2kg,중품,9800,9800,11200
2015-05-18 00:00:00,딸기,딸기(전체),2kg,중품,9800,-,-
2015-05-19 00:00:00,딸기,딸기(전체),2kg,중품,9800,9800,10400
2015-05-20 00:00:00,딸기,딸기(전체),2kg,중품,9800,9800,10400
2015-05-21 00:00:00,딸기,딸기(전체),2kg,중품,9800,9800,10400
2015-12-15 00:00:00,딸기,딸기(전체),2kg,중품,21600,-,20000
2015-12-16 00:00:00,딸기,딸기(전체),2kg,중품,21600,21600,20000
2015-12-17 00:00:00,딸기,딸기(전체),2kg,중품,22400,21600,21200
2015-12-18 00:00:00,딸기,딸기(전체),2kg,중품,22800,22400,21200
2015-12-21 00:00:00,딸기,딸기(전체),2kg,중품,22800,-,-
2015-12-22 00:00:00,딸기,딸기(전체),2kg,중품,22400,22800,22000
2015-12-23 00:00:00,딸기,딸기(전체),2kg,중품,22800,22400,22800
2015-12-24 00:00:00,딸기,딸기(전체),2kg,중품,22800,22800,22800
2015-12-28 00:00:00,딸기,딸기(전체),2kg,중품,22800,-,-
2015-12-29 00:00:00,딸기,딸기(전체),2kg,중품,22400,22800,23600
2015-12-30 00:00:00,딸기,딸기(전체),2kg,중품,22000,22400,23600
2015-12-31 00:00:00,딸기,딸기(전체),2kg,중품,22400,22000,23600
2016-01-04 00:00:00,딸기,딸기(전체),2kg,중품,23600,-,-
2016-01-05 00:00:00,딸기,딸기(전체),2kg,중품,23200,23600,23600
2016-01-06 00:00:00,딸기,딸기(전체),2kg,중품,23600,23200,22000
2016-01-07 00:00:00,딸기,딸기(전체),2kg,중품,21200,23600,21200
2016-01-08 00:00:00,딸기,딸기(전체),2kg,중품,20800,21200,20800
2016-01-11 00:00:00,딸기,딸기(전체),2kg,중품,21200,-,-
2016-01-12 00:00:00,딸기,딸기(전체),2kg,중품,20400,21200,18800
2016-01-13 00:00:00,딸기,딸기(전체),2kg,중품,20400,20400,18400
2016-01-14 00:00:00,딸기,딸기(전체),2kg,중품,20000,20400,18400
2016-01-15 00:00:00,딸기,딸기(전체),2kg,중품,20000,20000,18800
2016-01-18 00:00:00,딸기,딸기(전체),2kg,중품,20000,-,-
2016-01-19 00:00:00,딸기,딸기(전체),2kg,중품,19600,20000,20000
2016-01-20 00:00:00,딸기,딸기(전체),2kg,중품,20400,19600,20400
2016-01-21 00:00:00,딸기,딸기(전체),2kg,중품,20000,20400,20400
2016-01-22 00:00:00,딸기,딸기(전체),2kg,중품,20400,20000,20000
2016-01-25 00:00:00,딸기,딸기(전체),2kg,중품,21600,-,-
2016-01-26 00:00:00,딸기,딸기(전체),2kg,중품,22000,21600,20800
2016-01-27 00:00:00,딸기,딸기(전체),2kg,중품,21200,22000,20400
2016-01-28 00:00:00,딸기,딸기(전체),2kg,중품,21600,21200,20400
2016-01-29 00:00:00,딸기,딸기(전체),2kg,중품,22000,21600,20400
2016-02-01 00:00:00,딸기,딸기(전체),2kg,중품,23600,-,-
2016-02-02 00:00:00,딸기,딸기(전체),2kg,중품,24400,23600,19600
2016-02-03 00:00:00,딸기,딸기(전체),2kg,중품,25200,24400,19600
2016-02-04 00:00:00,딸기,딸기(전체),2kg,중품,25600,25200,19200
2016-02-05 00:00:00,딸기,딸기(전체),2kg,중품,27600,25600,18800
2016-02-11 00:00:00,딸기,딸기(전체),2kg,중품,22800,-,19200
2016-02-12 00:00:00,딸기,딸기(전체),2kg,중품,19200,22800,19200
2016-02-15 00:00:00,딸기,딸기(전체),2kg,중품,18000,-,-
