DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-09-10 00:00:00,무,무(전체),20kg,상품,9400,-,-
2015-09-11 00:00:00,무,무(전체),20kg,상품,9200,9400,-
2015-09-14 00:00:00,무,무(전체),20kg,상품,8000,-,-
2015-09-15 00:00:00,무,무(전체),20kg,상품,8000,8000,-
2015-09-16 00:00:00,무,무(전체),20kg,상품,7800,8000,-
2015-09-17 00:00:00,무,무(전체),20kg,상품,7800,7800,-
2015-09-18 00:00:00,무,무(전체),20kg,상품,7600,7800,-
2016-09-12 00:00:00,무,무(전체),20kg,상품,23200,-,-
2016-09-13 00:00:00,무,무(전체),20kg,상품,26000,23200,-
2016-09-19 00:00:00,무,무(전체),20kg,상품,21800,-,-
2016-09-20 00:00:00,무,무(전체),20kg,상품,23800,21800,-
2017-09-11 00:00:00,무,무(전체),20kg,상품,19600,-,-
2017-09-12 00:00:00,무,무(전체),20kg,상품,20200,19600,23200
2017-09-13 00:00:00,무,무(전체),20kg,상품,19000,20200,26000
2017-09-14 00:00:00,무,무(전체),20kg,상품,18800,19000,-
2017-09-15 00:00:00,무,무(전체),20kg,상품,18200,18800,-
2017-09-18 00:00:00,무,무(전체),20kg,상품,17000,-,-
2017-09-19 00:00:00,무,무(전체),20kg,상품,16200,17000,21800
2017-09-20 00:00:00,무,무(전체),20kg,상품,16200,16200,23800
2018-08-31 00:00:00,무,무(전체),20kg,상품,28400,-,-
2018-09-03 00:00:00,무,무(전체),20kg,상품,27000,-,-
2018-09-04 00:00:00,무,무(전체),20kg,상품,27600,27000,-
2018-09-05 00:00:00,무,무(전체),20kg,상품,26600,27600,-
2018-09-06 00:00:00,무,무(전체),20kg,상품,26200,26600,-
2018-09-07 00:00:00,무,무(전체),20kg,상품,25800,26200,-
2018-09-10 00:00:00,무,무(전체),20kg,상품,25400,-,-
2018-09-11 00:00:00,무,무(전체),20kg,상품,25200,25400,19600
2018-09-12 00:00:00,무,무(전체),20kg,상품,25800,25200,20200
2018-09-13 00:00:00,무,무(전체),20kg,상품,25800,25800,19000
2018-09-14 00:00:00,무,무(전체),20kg,상품,25400,25800,18800
2018-09-17 00:00:00,무,무(전체),20kg,상품,25600,-,-
2018-09-18 00:00:00,무,무(전체),20kg,상품,24400,25600,17000
2018-09-19 00:00:00,무,무(전체),20kg,상품,24600,24400,16200
2018-09-20 00:00:00,무,무(전체),20kg,상품,25800,24600,16200
2018-12-31 00:00:00,무,무(전체),20kg,상품,7600,-,-
2019-01-02 00:00:00,무,무(전체),20kg,상품,8000,-,-
2019-01-03 00:00:00,무,무(전체),20kg,상품,8200,8000,-
2019-01-04 00:00:00,무,무(전체),20kg,상품,9400,8200,-
2019-01-07 00:00:00,무,무(전체),20kg,상품,9000,-,-
2019-01-08 00:00:00,무,무(전체),20kg,상품,8200,9000,-
2019-01-09 00:00:00,무,무(전체),20kg,상품,7400,8200,-
2019-01-10 00:00:00,무,무(전체),20kg,상품,7500,7400,-
2019-01-11 00:00:00,무,무(전체),20kg,상품,7500,7500,-
