DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,사과,사과(전체),10kg,중품,32666.4,-,41199.8
2015-01-05 00:00:00,사과,사과(전체),10kg,중품,32799.8,-,-
2015-01-06 00:00:00,사과,사과(전체),10kg,중품,33066.4,32799.8,41199.8
2015-01-07 00:00:00,사과,사과(전체),10kg,중품,33066.4,33066.4,43600
2015-01-08 00:00:00,사과,사과(전체),10kg,중품,33066.4,33066.4,45333.4
2015-01-09 00:00:00,사과,사과(전체),10kg,중품,33066.4,33066.4,49066.6
2015-01-12 00:00:00,사과,사과(전체),10kg,중품,33066.4,-,-
2015-01-13 00:00:00,사과,사과(전체),10kg,중품,33066.4,33066.4,48400
2015-01-14 00:00:00,사과,사과(전체),10kg,중품,33066.4,33066.4,48400
2015-01-15 00:00:00,사과,사과(전체),10kg,중품,33066.4,33066.4,49066.6
2015-01-16 00:00:00,사과,사과(전체),10kg,중품,33066.4,33066.4,49066.6
2015-01-19 00:00:00,사과,사과(전체),10kg,중품,33066.4,-,-
2015-01-20 00:00:00,사과,사과(전체),10kg,중품,33066.4,33066.4,51333.2
2015-01-21 00:00:00,사과,사과(전체),10kg,중품,33333,33066.4,54533.4
2015-01-22 00:00:00,사과,사과(전체),10kg,중품,33066.4,33333,54533.4
2015-01-23 00:00:00,사과,사과(전체),10kg,중품,33733,33066.4,54533.4
2015-01-26 00:00:00,사과,사과(전체),10kg,중품,33733,-,-
2015-01-27 00:00:00,사과,사과(전체),10kg,중품,33733,33733,54533.4
2015-01-28 00:00:00,사과,사과(전체),10kg,중품,33733,33733,54533.4
2015-01-29 00:00:00,사과,사과(전체),10kg,중품,33733,33733,54533.4
2015-01-30 00:00:00,사과,사과(전체),10kg,중품,33733,33733,-
2015-02-02 00:00:00,사과,사과(전체),10kg,중품,35333.2,-,-
2015-02-03 00:00:00,사과,사과(전체),10kg,중품,35333.2,35333.2,54533
2015-02-04 00:00:00,사과,사과(전체),10kg,중품,35600,35333.2,51867
2015-02-05 00:00:00,사과,사과(전체),10kg,중품,35066.8,35600,50533
2015-02-06 00:00:00,사과,사과(전체),10kg,중품,35066.8,35066.8,50533
2015-02-09 00:00:00,사과,사과(전체),10kg,중품,36266.6,-,-
2015-02-10 00:00:00,사과,사과(전체),10kg,중품,36533.4,36266.6,49200
2015-02-11 00:00:00,사과,사과(전체),10kg,중품,36533.4,36533.4,47333
2015-02-12 00:00:00,사과,사과(전체),10kg,중품,36533.4,36533.4,47333
2015-02-13 00:00:00,사과,사과(전체),10kg,중품,37200.2,36533.4,47333
2015-02-16 00:00:00,사과,사과(전체),10kg,중품,37200.2,-,-
2015-02-17 00:00:00,사과,사과(전체),10kg,중품,36933.4,37200.2,46667
2015-02-23 00:00:00,사과,사과(전체),10kg,중품,36933.4,-,-
2015-02-24 00:00:00,사과,사과(전체),10kg,중품,36933.4,36933.4,46667
2015-02-25 00:00:00,사과,사과(전체),10kg,중품,36933.4,36933.4,46667
2015-02-26 00:00:00,사과,사과(전체),10kg,중품,36933.4,36933.4,46667
2015-02-27 00:00:00,사과,사과(전체),10kg,중품,36933.4,36933.4,46667
2015-03-02 00:00:00,사과,사과(전체),10kg,중품,36933.4,-,-
2015-03-03 00:00:00,사과,사과(전체),10kg,중품,36933.4,36933.4,46667
2015-03-04 00:00:00,사과,사과(전체),10kg,중품,36933.4,36933.4,46667
2015-03-05 00:00:00,사과,사과(전체),10kg,중품,36933.4,36933.4,46667
2015-03-06 00:00:00,사과,사과(전체),10kg,중품,36266.6,36933.4,46667
2015-03-09 00:00:00,사과,사과(전체),10kg,중품,36266.6,-,-
2015-03-10 00:00:00,사과,사과(전체),10kg,중품,36799.8,36266.6,46667
2015-03-11 00:00:00,사과,사과(전체),10kg,중품,36799.8,36799.8,46667
2015-03-12 00:00:00,사과,사과(전체),10kg,중품,36799.8,36799.8,46667
2015-03-13 00:00:00,사과,사과(전체),10kg,중품,36799.8,36799.8,46667
