DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,시금치,시금치(전체),4kg,중품,8200,-,5600
2015-01-05 00:00:00,시금치,시금치(전체),4kg,중품,8600,-,-
2015-01-06 00:00:00,시금치,시금치(전체),4kg,중품,9000,8600,6200
2015-01-07 00:00:00,시금치,시금치(전체),4kg,중품,9000,9000,6000
2015-01-08 00:00:00,시금치,시금치(전체),4kg,중품,8600,9000,6000
2015-01-09 00:00:00,시금치,시금치(전체),4kg,중품,7600,8600,6000
2015-01-12 00:00:00,시금치,시금치(전체),4kg,중품,7600,-,-
2015-01-13 00:00:00,시금치,시금치(전체),4kg,중품,7200,7600,5000
2015-01-14 00:00:00,시금치,시금치(전체),4kg,중품,7800,7200,5000
2015-01-15 00:00:00,시금치,시금치(전체),4kg,중품,7500,7800,5000
2015-01-16 00:00:00,시금치,시금치(전체),4kg,중품,8200,7500,5000
2015-01-19 00:00:00,시금치,시금치(전체),4kg,중품,9400,-,-
2015-01-20 00:00:00,시금치,시금치(전체),4kg,중품,9400,9400,4800
2015-01-21 00:00:00,시금치,시금치(전체),4kg,중품,9800,9400,5200
2015-01-22 00:00:00,시금치,시금치(전체),4kg,중품,9200,9800,5200
2015-01-23 00:00:00,시금치,시금치(전체),4kg,중품,9000,9200,5400
2015-01-26 00:00:00,시금치,시금치(전체),4kg,중품,9200,-,-
2015-01-27 00:00:00,시금치,시금치(전체),4kg,중품,9200,9200,5200
2015-01-28 00:00:00,시금치,시금치(전체),4kg,중품,9600,9200,5200
2015-01-29 00:00:00,시금치,시금치(전체),4kg,중품,9800,9600,5200
2015-01-30 00:00:00,시금치,시금치(전체),4kg,중품,9800,9800,-
2015-02-02 00:00:00,시금치,시금치(전체),4kg,중품,10000,-,-
2015-02-03 00:00:00,시금치,시금치(전체),4kg,중품,10000,10000,5200
2015-02-04 00:00:00,시금치,시금치(전체),4kg,중품,9600,10000,5600
2015-02-05 00:00:00,시금치,시금치(전체),4kg,중품,9600,9600,6200
2015-02-06 00:00:00,시금치,시금치(전체),4kg,중품,9600,9600,5600
2015-02-09 00:00:00,시금치,시금치(전체),4kg,중품,10400,-,-
2015-02-10 00:00:00,시금치,시금치(전체),4kg,중품,10000,10400,5400
2015-02-11 00:00:00,시금치,시금치(전체),4kg,중품,10400,10000,5400
2015-02-12 00:00:00,시금치,시금치(전체),4kg,중품,10400,10400,5400
2015-02-13 00:00:00,시금치,시금치(전체),4kg,중품,10400,10400,4800
2015-02-16 00:00:00,시금치,시금치(전체),4kg,중품,11000,-,-
2015-02-17 00:00:00,시금치,시금치(전체),4kg,중품,10600,11000,4800
2015-02-23 00:00:00,시금치,시금치(전체),4kg,중품,9900,-,-
2015-02-24 00:00:00,시금치,시금치(전체),4kg,중품,9200,9900,4800
2015-02-25 00:00:00,시금치,시금치(전체),4kg,중품,10000,9200,4800
2015-02-26 00:00:00,시금치,시금치(전체),4kg,중품,10000,10000,4800
2015-02-27 00:00:00,시금치,시금치(전체),4kg,중품,9200,10000,4800
2015-03-02 00:00:00,시금치,시금치(전체),4kg,중품,8800,-,-
2015-03-03 00:00:00,시금치,시금치(전체),4kg,중품,8000,8800,5000
2015-03-04 00:00:00,시금치,시금치(전체),4kg,중품,7400,8000,4800
2015-03-05 00:00:00,시금치,시금치(전체),4kg,중품,7100,7400,4800
2015-03-06 00:00:00,시금치,시금치(전체),4kg,중품,7100,7100,4800
2015-03-09 00:00:00,시금치,시금치(전체),4kg,중품,7000,-,-
2015-03-10 00:00:00,시금치,시금치(전체),4kg,중품,7200,7000,4400
2015-03-11 00:00:00,시금치,시금치(전체),4kg,중품,7400,7200,4400
2015-03-12 00:00:00,시금치,시금치(전체),4kg,중품,6800,7400,4800
2015-03-13 00:00:00,시금치,시금치(전체),4kg,중품,6800,6800,4800
2015-03-16 00:00:00,시금치,시금치(전체),4kg,중품,7000,-,-
2015-03-17 00:00:00,시금치,시금치(전체),4kg,중품,7400,7000,5400
2015-03-18 00:00:00,시금치,시금치(전체),4kg,중품,7800,7400,5400
2015-03-19 00:00:00,시금치,시금치(전체),4kg,중품,7800,7800,5600
