DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,열무,열무(전체),4kg,상품,5200,-,4200
2015-01-05 00:00:00,열무,열무(전체),4kg,상품,5200,-,-
2015-01-06 00:00:00,열무,열무(전체),4kg,상품,5000,5200,4280
2015-01-07 00:00:00,열무,열무(전체),4kg,상품,5360,5000,4280
2015-01-08 00:00:00,열무,열무(전체),4kg,상품,5520,5360,3960
2015-01-09 00:00:00,열무,열무(전체),4kg,상품,5520,5520,3880
2015-01-12 00:00:00,열무,열무(전체),4kg,상품,5520,-,-
2015-01-13 00:00:00,열무,열무(전체),4kg,상품,5520,5520,3800
2015-01-14 00:00:00,열무,열무(전체),4kg,상품,5520,5520,3800
2015-01-15 00:00:00,열무,열무(전체),4kg,상품,5680,5520,3600
2015-01-16 00:00:00,열무,열무(전체),4kg,상품,5680,5680,3760
2015-01-19 00:00:00,열무,열무(전체),4kg,상품,5760,-,-
2015-01-20 00:00:00,열무,열무(전체),4kg,상품,5760,5760,3840
2015-01-21 00:00:00,열무,열무(전체),4kg,상품,5760,5760,3680
2015-01-22 00:00:00,열무,열무(전체),4kg,상품,5920,5760,3680
2015-01-23 00:00:00,열무,열무(전체),4kg,상품,5920,5920,3840
2015-01-26 00:00:00,열무,열무(전체),4kg,상품,6640,-,-
2015-01-27 00:00:00,열무,열무(전체),4kg,상품,6440,6640,3840
2015-01-28 00:00:00,열무,열무(전체),4kg,상품,6440,6440,3840
2015-01-29 00:00:00,열무,열무(전체),4kg,상품,6440,6440,4200
2015-01-30 00:00:00,열무,열무(전체),4kg,상품,6440,6440,-
2015-02-02 00:00:00,열무,열무(전체),4kg,상품,6280,-,-
2015-02-03 00:00:00,열무,열무(전체),4kg,상품,6880,6280,4200
2015-02-04 00:00:00,열무,열무(전체),4kg,상품,6880,6880,4200
2015-02-05 00:00:00,열무,열무(전체),4kg,상품,6440,6880,4200
2015-02-06 00:00:00,열무,열무(전체),4kg,상품,6440,6440,4000
2015-02-09 00:00:00,열무,열무(전체),4kg,상품,6440,-,-
2015-02-10 00:00:00,열무,열무(전체),4kg,상품,7040,6440,3920
2015-02-11 00:00:00,열무,열무(전체),4kg,상품,7040,7040,4000
2015-02-12 00:00:00,열무,열무(전체),4kg,상품,6880,7040,3920
2015-02-13 00:00:00,열무,열무(전체),4kg,상품,6400,6880,3920
2015-02-16 00:00:00,열무,열무(전체),4kg,상품,6560,-,-
2015-02-17 00:00:00,열무,열무(전체),4kg,상품,6800,6560,3760
2015-02-23 00:00:00,열무,열무(전체),4kg,상품,6800,-,-
2015-02-24 00:00:00,열무,열무(전체),4kg,상품,6800,6800,3760
2015-02-25 00:00:00,열무,열무(전체),4kg,상품,7040,6800,3920
2015-02-26 00:00:00,열무,열무(전체),4kg,상품,6920,7040,3920
2015-02-27 00:00:00,열무,열무(전체),4kg,상품,6920,6920,4240
2015-03-02 00:00:00,열무,열무(전체),4kg,상품,6840,-,-
2015-03-03 00:00:00,열무,열무(전체),4kg,상품,6040,6840,4160
2015-03-04 00:00:00,열무,열무(전체),4kg,상품,6080,6040,4320
2015-03-05 00:00:00,열무,열무(전체),4kg,상품,5840,6080,4160
2015-03-06 00:00:00,열무,열무(전체),4kg,상품,5840,5840,4000
2015-03-09 00:00:00,열무,열무(전체),4kg,상품,6360,-,-
2015-03-10 00:00:00,열무,열무(전체),4kg,상품,6360,6360,4080
2015-03-11 00:00:00,열무,열무(전체),4kg,상품,6360,6360,4240
2015-03-12 00:00:00,열무,열무(전체),4kg,상품,6360,6360,4240
2015-03-13 00:00:00,열무,열무(전체),4kg,상품,6680,6360,4000
2015-03-16 00:00:00,열무,열무(전체),4kg,상품,6760,-,-
2015-03-17 00:00:00,열무,열무(전체),4kg,상품,6040,6760,4560
2015-03-18 00:00:00,열무,열무(전체),4kg,상품,6040,6040,4760
2015-03-19 00:00:00,열무,열무(전체),4kg,상품,6120,6040,4520
2015-03-20 00:00:00,열무,열무(전체),4kg,상품,6120,6120,4520
2015-03-23 00:00:00,열무,열무(전체),4kg,상품,6120,-,-
2015-03-24 00:00:00,열무,열무(전체),4kg,상품,5880,6120,4360
2015-03-25 00:00:00,열무,열무(전체),4kg,상품,5880,5880,3880
2015-03-26 00:00:00,열무,열무(전체),4kg,상품,6120,5880,3680
2015-03-27 00:00:00,열무,열무(전체),4kg,상품,6120,6120,3680
2015-03-30 00:00:00,열무,열무(전체),4kg,상품,5720,-,-
2015-03-31 00:00:00,열무,열무(전체),4kg,상품,5880,5720,3680
2015-04-01 00:00:00,열무,열무(전체),4kg,상품,5880,5880,3680
2015-04-02 00:00:00,열무,열무(전체),4kg,상품,5880,5880,3760
2015-04-03 00:00:00,열무,열무(전체),4kg,상품,5880,5880,3760
2015-04-06 00:00:00,열무,열무(전체),4kg,상품,6040,-,-
2015-04-07 00:00:00,열무,열무(전체),4kg,상품,5720,6040,3680
2015-04-08 00:00:00,열무,열무(전체),4kg,상품,5720,5720,3840
2015-04-09 00:00:00,열무,열무(전체),4kg,상품,5720,5720,3840
2015-04-10 00:00:00,열무,열무(전체),4kg,상품,5880,5720,3840
2015-04-13 00:00:00,열무,열무(전체),4kg,상품,5640,-,-
2015-04-14 00:00:00,열무,열무(전체),4kg,상품,6080,5640,4000
2015-04-15 00:00:00,열무,열무(전체),4kg,상품,6080,6080,3920
2015-04-16 00:00:00,열무,열무(전체),4kg,상품,6080,6080,3920
2015-04-17 00:00:00,열무,열무(전체),4kg,상품,6080,6080,3840
2015-04-20 00:00:00,열무,열무(전체),4kg,상품,6000,-,-
2015-04-21 00:00:00,열무,열무(전체),4kg,상품,6440,6000,3840
2015-04-22 00:00:00,열무,열무(전체),4kg,상품,6440,6440,3840
2015-04-23 00:00:00,열무,열무(전체),4kg,상품,6440,6440,3840
2015-04-24 00:00:00,열무,열무(전체),4kg,상품,6520,6440,3960
2015-04-27 00:00:00,열무,열무(전체),4kg,상품,6280,-,-
2015-04-28 00:00:00,열무,열무(전체),4kg,상품,6520,6280,4240
2015-04-29 00:00:00,열무,열무(전체),4kg,상품,6520,6520,4240
2015-04-30 00:00:00,열무,열무(전체),4kg,상품,6360,6520,4240
2015-05-04 00:00:00,열무,열무(전체),4kg,상품,6360,-,-
2015-05-06 00:00:00,열무,열무(전체),4kg,상품,6280,-,-
2015-05-07 00:00:00,열무,열무(전체),4kg,상품,5800,6280,4080
2015-05-08 00:00:00,열무,열무(전체),4kg,상품,5800,5800,4000
2015-05-11 00:00:00,열무,열무(전체),4kg,상품,5640,-,-
2015-05-12 00:00:00,열무,열무(전체),4kg,상품,5640,5640,4080
2015-05-13 00:00:00,열무,열무(전체),4kg,상품,5640,5640,4080
2015-05-14 00:00:00,열무,열무(전체),4kg,상품,5640,5640,4080
2015-05-15 00:00:00,열무,열무(전체),4kg,상품,5640,5640,4080
2015-05-18 00:00:00,열무,열무(전체),4kg,상품,5520,-,-
2015-05-19 00:00:00,열무,열무(전체),4kg,상품,5520,5520,4080
2015-05-20 00:00:00,열무,열무(전체),4kg,상품,5520,5520,4080
2015-05-21 00:00:00,열무,열무(전체),4kg,상품,5520,5520,4000
2015-05-22 00:00:00,열무,열무(전체),4kg,상품,5520,5520,3840
2015-05-26 00:00:00,열무,열무(전체),4kg,상품,5600,-,3560
2015-05-27 00:00:00,열무,열무(전체),4kg,상품,5760,5600,3000
2015-05-28 00:00:00,열무,열무(전체),4kg,상품,5920,5760,3000
2015-05-29 00:00:00,열무,열무(전체),4kg,상품,6160,5920,2960
2015-06-01 00:00:00,열무,열무(전체),4kg,상품,6320,-,-
2015-06-02 00:00:00,열무,열무(전체),4kg,상품,6360,6320,3040
2015-06-03 00:00:00,열무,열무(전체),4kg,상품,6360,6360,3040
2015-06-04 00:00:00,열무,열무(전체),4kg,상품,6040,6360,-
2015-06-05 00:00:00,열무,열무(전체),4kg,상품,5960,6040,3080
2015-06-08 00:00:00,열무,열무(전체),4kg,상품,5960,-,-
2015-06-09 00:00:00,열무,열무(전체),4kg,상품,5960,5960,3000
2015-06-10 00:00:00,열무,열무(전체),4kg,상품,5880,5960,2920
2015-06-11 00:00:00,열무,열무(전체),4kg,상품,5960,5880,3120
2015-06-12 00:00:00,열무,열무(전체),4kg,상품,6120,5960,3200
2015-06-15 00:00:00,열무,열무(전체),4kg,상품,6200,-,-
2015-06-16 00:00:00,열무,열무(전체),4kg,상품,6200,6200,3240
2015-06-17 00:00:00,열무,열무(전체),4kg,상품,6200,6200,3480
2015-06-18 00:00:00,열무,열무(전체),4kg,상품,6200,6200,3320
2015-06-19 00:00:00,열무,열무(전체),4kg,상품,6200,6200,3320
2015-06-22 00:00:00,열무,열무(전체),4kg,상품,6200,-,-
2015-06-23 00:00:00,열무,열무(전체),4kg,상품,6200,6200,3720
2015-06-24 00:00:00,열무,열무(전체),4kg,상품,6320,6200,3520
2015-06-25 00:00:00,열무,열무(전체),4kg,상품,7120,6320,3520
2015-06-26 00:00:00,열무,열무(전체),4kg,상품,7120,7120,3520
2015-06-29 00:00:00,열무,열무(전체),4kg,상품,6040,-,-
2015-06-30 00:00:00,열무,열무(전체),4kg,상품,6040,6040,3840
2015-07-01 00:00:00,열무,열무(전체),4kg,상품,5560,6040,3840
2015-07-02 00:00:00,열무,열무(전체),4kg,상품,5560,5560,4080
2015-07-03 00:00:00,열무,열무(전체),4kg,상품,5560,5560,4280
2015-07-06 00:00:00,열무,열무(전체),4kg,상품,5640,-,-
2015-07-07 00:00:00,열무,열무(전체),4kg,상품,5640,5640,3960
2015-07-08 00:00:00,열무,열무(전체),4kg,상품,5640,5640,3600
2015-07-09 00:00:00,열무,열무(전체),4kg,상품,5080,5640,4000
2015-07-10 00:00:00,열무,열무(전체),4kg,상품,5080,5080,4000
2015-07-13 00:00:00,열무,열무(전체),4kg,상품,5240,-,-
2015-07-14 00:00:00,열무,열무(전체),4kg,상품,4680,5240,4800
2015-07-15 00:00:00,열무,열무(전체),4kg,상품,4680,4680,4600
2015-07-16 00:00:00,열무,열무(전체),4kg,상품,4480,4680,4600
2015-07-17 00:00:00,열무,열무(전체),4kg,상품,4480,4480,4600
2015-07-20 00:00:00,열무,열무(전체),4kg,상품,4880,-,-
2015-07-21 00:00:00,열무,열무(전체),4kg,상품,4880,4880,4320
2015-07-22 00:00:00,열무,열무(전체),4kg,상품,4720,4880,4320
2015-07-23 00:00:00,열무,열무(전체),4kg,상품,4240,4720,4320
2015-07-24 00:00:00,열무,열무(전체),4kg,상품,4480,4240,4680
2015-07-27 00:00:00,열무,열무(전체),4kg,상품,5360,-,-
2015-07-28 00:00:00,열무,열무(전체),4kg,상품,5120,5360,4960
2015-07-29 00:00:00,열무,열무(전체),4kg,상품,5120,5120,4960
2015-07-30 00:00:00,열무,열무(전체),4kg,상품,5560,5120,4480
2015-07-31 00:00:00,열무,열무(전체),4kg,상품,5560,5560,4480
2015-08-03 00:00:00,열무,열무(전체),4kg,상품,6280,-,-
2015-08-04 00:00:00,열무,열무(전체),4kg,상품,6280,6280,4680
2015-08-05 00:00:00,열무,열무(전체),4kg,상품,6680,6280,4680
2015-08-06 00:00:00,열무,열무(전체),4kg,상품,6600,6680,4680
2015-08-07 00:00:00,열무,열무(전체),4kg,상품,6840,6600,4960
2015-08-10 00:00:00,열무,열무(전체),4kg,상품,6440,-,-
2015-08-11 00:00:00,열무,열무(전체),4kg,상품,6440,6440,4960
2015-08-12 00:00:00,열무,열무(전체),4kg,상품,6280,6440,4960
2015-08-13 00:00:00,열무,열무(전체),4kg,상품,6080,6280,5440
2015-08-17 00:00:00,열무,열무(전체),4kg,상품,6320,-,-
2015-08-18 00:00:00,열무,열무(전체),4kg,상품,6160,6320,5040
2015-08-19 00:00:00,열무,열무(전체),4kg,상품,5840,6160,5040
2015-08-20 00:00:00,열무,열무(전체),4kg,상품,5840,5840,4840
2015-08-21 00:00:00,열무,열무(전체),4kg,상품,5840,5840,4840
2015-08-24 00:00:00,열무,열무(전체),4kg,상품,5640,-,-
2015-08-25 00:00:00,열무,열무(전체),4kg,상품,5880,5640,4400
2015-08-26 00:00:00,열무,열무(전체),4kg,상품,5640,5880,4480
2015-08-27 00:00:00,열무,열무(전체),4kg,상품,5640,5640,4720
2015-08-28 00:00:00,열무,열무(전체),4kg,상품,5640,5640,4880
2015-08-31 00:00:00,열무,열무(전체),4kg,상품,5880,-,-
2015-09-01 00:00:00,열무,열무(전체),4kg,상품,5880,5880,5520
2015-09-02 00:00:00,열무,열무(전체),4kg,상품,5800,5880,5520
2015-09-03 00:00:00,열무,열무(전체),4kg,상품,5640,5800,6000
