DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,콩,콩(전체),35kg,상품,138000,-,156600
2015-01-05 00:00:00,콩,콩(전체),35kg,상품,138000,-,-
2015-01-06 00:00:00,콩,콩(전체),35kg,상품,138000,138000,156600
2015-01-07 00:00:00,콩,콩(전체),35kg,상품,138000,138000,156600
2015-01-08 00:00:00,콩,콩(전체),35kg,상품,139000,138000,156600
2015-01-09 00:00:00,콩,콩(전체),35kg,상품,139000,139000,156600
2015-01-12 00:00:00,콩,콩(전체),35kg,상품,139000,-,-
2015-01-13 00:00:00,콩,콩(전체),35kg,상품,139000,139000,149400
2015-01-14 00:00:00,콩,콩(전체),35kg,상품,139000,139000,149400
2015-01-15 00:00:00,콩,콩(전체),35kg,상품,139000,139000,149400
2015-01-16 00:00:00,콩,콩(전체),35kg,상품,139000,139000,149400
2015-01-19 00:00:00,콩,콩(전체),35kg,상품,139000,-,-
2015-01-20 00:00:00,콩,콩(전체),35kg,상품,139000,139000,149400
2015-01-21 00:00:00,콩,콩(전체),35kg,상품,140000,139000,149400
2015-01-22 00:00:00,콩,콩(전체),35kg,상품,140000,140000,149400
2015-01-23 00:00:00,콩,콩(전체),35kg,상품,140000,140000,149400
2015-01-26 00:00:00,콩,콩(전체),35kg,상품,140000,-,-
2015-01-27 00:00:00,콩,콩(전체),35kg,상품,140000,140000,149400
2015-01-28 00:00:00,콩,콩(전체),35kg,상품,140000,140000,149400
2015-01-29 00:00:00,콩,콩(전체),35kg,상품,140000,140000,149400
2015-01-30 00:00:00,콩,콩(전체),35kg,상품,140000,140000,-
2015-02-02 00:00:00,콩,콩(전체),35kg,상품,140000,-,-
2015-02-03 00:00:00,콩,콩(전체),35kg,상품,140000,140000,149400
2015-02-04 00:00:00,콩,콩(전체),35kg,상품,140000,140000,149400
2015-02-05 00:00:00,콩,콩(전체),35kg,상품,140000,140000,148400
2015-02-06 00:00:00,콩,콩(전체),35kg,상품,140000,140000,148400
2015-02-09 00:00:00,콩,콩(전체),35kg,상품,140000,-,-
2015-02-10 00:00:00,콩,콩(전체),35kg,상품,140000,140000,146400
