DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2018-08-31 00:00:00,콩,콩(전체),40kg,중품,191771.4,-,-
2018-09-03 00:00:00,콩,콩(전체),40kg,중품,191771.4,-,-
2018-09-04 00:00:00,콩,콩(전체),40kg,중품,191771.4,191771.4,-
2018-09-05 00:00:00,콩,콩(전체),40kg,중품,191771.4,191771.4,-
2018-09-06 00:00:00,콩,콩(전체),40kg,중품,191771.4,191771.4,-
2018-09-07 00:00:00,콩,콩(전체),40kg,중품,191771.4,191771.4,-
2018-09-10 00:00:00,콩,콩(전체),40kg,중품,191771.4,-,-
2022-03-25 00:00:00,콩,콩(전체),40kg,중품,221714.5,-,-
2022-03-28 00:00:00,콩,콩(전체),40kg,중품,221714.5,-,-
2022-03-29 00:00:00,콩,콩(전체),40kg,중품,221714.5,221714.5,-
2022-03-30 00:00:00,콩,콩(전체),40kg,중품,221714.5,221714.5,-
2022-03-31 00:00:00,콩,콩(전체),40kg,중품,221714.5,221714.5,-
2022-04-01 00:00:00,콩,콩(전체),40kg,중품,221714.5,221714.5,-
2022-04-04 00:00:00,콩,콩(전체),40kg,중품,222000,-,-
2022-04-05 00:00:00,콩,콩(전체),40kg,중품,222000,222000,-
2022-04-06 00:00:00,콩,콩(전체),40kg,중품,222000,222000,-
2022-04-07 00:00:00,콩,콩(전체),40kg,중품,222000,222000,-
2022-04-08 00:00:00,콩,콩(전체),40kg,중품,221500,222000,-
2022-04-11 00:00:00,콩,콩(전체),40kg,중품,221500,-,-
2022-04-12 00:00:00,콩,콩(전체),40kg,중품,221500,221500,-
2022-04-13 00:00:00,콩,콩(전체),40kg,중품,221500,221500,-
2022-04-14 00:00:00,콩,콩(전체),40kg,중품,221500,221500,-
2022-04-15 00:00:00,콩,콩(전체),40kg,중품,221500,221500,-
2022-04-18 00:00:00,콩,콩(전체),40kg,중품,221500,-,-
2022-04-19 00:00:00,콩,콩(전체),40kg,중품,223000,221500,-
2022-04-20 00:00:00,콩,콩(전체),40kg,중품,223000,223000,-
2022-04-21 00:00:00,콩,콩(전체),40kg,중품,223000,223000,-
2022-04-22 00:00:00,콩,콩(전체),40kg,중품,224000,223000,-
2022-04-25 00:00:00,콩,콩(전체),40kg,중품,224000,-,-
2022-04-26 00:00:00,콩,콩(전체),40kg,중품,224000,224000,-
2022-04-27 00:00:00,콩,콩(전체),40kg,중품,224000,224000,-
2022-04-28 00:00:00,콩,콩(전체),40kg,중품,224000,224000,-
2022-04-29 00:00:00,콩,콩(전체),40kg,중품,224000,224000,-
2022-05-02 00:00:00,콩,콩(전체),40kg,중품,224000,-,-
2022-05-03 00:00:00,콩,콩(전체),40kg,중품,224000,224000,-
2022-05-04 00:00:00,콩,콩(전체),40kg,중품,224000,224000,-
2022-05-06 00:00:00,콩,콩(전체),40kg,중품,224000,-,-
2022-05-09 00:00:00,콩,콩(전체),40kg,중품,224000,-,-
2022-05-10 00:00:00,콩,콩(전체),40kg,중품,226000,224000,-
2022-05-11 00:00:00,콩,콩(전체),40kg,중품,226000,226000,-
2022-05-12 00:00:00,콩,콩(전체),40kg,중품,226000,226000,-
2022-05-13 00:00:00,콩,콩(전체),40kg,중품,226000,226000,-
2022-05-16 00:00:00,콩,콩(전체),40kg,중품,226000,-,-
2022-05-17 00:00:00,콩,콩(전체),40kg,중품,226000,226000,-
2022-05-18 00:00:00,콩,콩(전체),40kg,중품,226000,226000,-
2022-05-19 00:00:00,콩,콩(전체),40kg,중품,226000,226000,-
2022-05-20 00:00:00,콩,콩(전체),40kg,중품,226500,226000,-
2022-05-23 00:00:00,콩,콩(전체),40kg,중품,226500,-,-
2022-05-24 00:00:00,콩,콩(전체),40kg,중품,226500,226500,-
2022-05-25 00:00:00,콩,콩(전체),40kg,중품,226500,226500,-
2022-05-26 00:00:00,콩,콩(전체),40kg,중품,226500,226500,-
2022-05-27 00:00:00,콩,콩(전체),40kg,중품,226500,226500,-
2022-05-30 00:00:00,콩,콩(전체),40kg,중품,226500,-,-
2022-05-31 00:00:00,콩,콩(전체),40kg,중품,227000,226500,-
2022-06-02 00:00:00,콩,콩(전체),40kg,중품,227000,-,-
2022-06-03 00:00:00,콩,콩(전체),40kg,중품,227000,227000,-
2022-06-07 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-06-08 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-09 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-10 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-13 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-06-14 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-15 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-16 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-17 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-20 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-06-21 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-22 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-23 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-24 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-27 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-06-28 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-29 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-06-30 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-01 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-04 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-07-05 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-06 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-07 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-08 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-11 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-07-12 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-13 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-14 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-15 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-18 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-07-19 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-20 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-26 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-07-27 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-28 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-07-29 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-01 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-08-02 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-03 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-04 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-05 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-08 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-08-09 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-10 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-11 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-12 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-16 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-08-17 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-18 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-19 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-22 00:00:00,콩,콩(전체),40kg,중품,228500,-,-
2022-08-23 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
2022-08-24 00:00:00,콩,콩(전체),40kg,중품,228500,228500,-
