DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,14000,-,16600
2015-01-05 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,14000,-,-
2015-01-06 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,13800,14000,20000
2015-01-07 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,13000,13800,18200
2015-01-08 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,12000,13000,15600
2015-01-09 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,11000,12000,13400
2015-01-12 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,10800,-,-
2015-01-13 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9800,10800,12000
2015-01-14 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9800,9800,12000
2015-01-15 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9800,9800,12000
2015-01-16 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9600,9800,12400
2015-01-19 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9600,-,-
2015-01-20 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9600,9600,12400
2015-01-21 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9000,9600,12400
2015-01-22 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,8400,9000,12400
2015-01-23 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,8400,8400,11400
2015-01-26 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,8400,-,-
2015-01-27 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9000,8400,9400
2015-01-28 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9200,9000,9400
2015-01-29 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9200,9200,9200
2015-01-30 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9200,9200,-
2015-02-02 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9200,-,-
2015-02-03 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9200,9200,9000
2015-02-04 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,10800,9200,8800
2015-02-05 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,10800,10800,8000
2015-02-06 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,10800,10800,8000
2015-02-09 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,12000,-,-
2015-02-10 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,12200,12000,7200
2015-02-11 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,12400,12200,7200
2015-02-12 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,11600,12400,7200
2015-02-13 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,11600,11600,7200
2015-02-16 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,11800,-,-
2015-02-17 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,11200,11800,7000
2015-02-23 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,10200,-,-
2015-02-24 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,10000,10200,6400
2015-02-25 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,9200,10000,6400
2015-02-26 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,8200,9200,6600
2015-02-27 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,8200,8200,6400
2015-03-02 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7600,-,-
2015-03-03 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7600,7600,6600
2015-03-04 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7600,7600,6800
2015-03-05 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7000,7600,7800
2015-03-06 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7000,7000,8600
2015-03-09 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7100,-,-
2015-03-10 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7200,7100,8400
2015-03-11 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7700,7200,8600
2015-03-12 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7700,7700,9000
2015-03-13 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7300,7700,8600
2015-03-16 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7700,-,-
2015-03-17 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7500,7700,8400
2015-03-18 00:00:00,팽이버섯,팽이버섯(전체),5kg,중품,7500,7500,8400
