DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,풋고추,풋고추(전체),10kg,상품,105600,-,38600
2015-01-05 00:00:00,풋고추,풋고추(전체),10kg,상품,100700,-,-
2015-01-06 00:00:00,풋고추,풋고추(전체),10kg,상품,91300,100700,44900
2015-01-07 00:00:00,풋고추,풋고추(전체),10kg,상품,86600,91300,49600
2015-01-08 00:00:00,풋고추,풋고추(전체),10kg,상품,82300,86600,49700
2015-01-09 00:00:00,풋고추,풋고추(전체),10kg,상품,77000,82300,49500
2015-01-12 00:00:00,풋고추,풋고추(전체),10kg,상품,70400,-,-
2015-01-13 00:00:00,풋고추,풋고추(전체),10kg,상품,71000,70400,53600
2015-01-14 00:00:00,풋고추,풋고추(전체),10kg,상품,71100,71000,58300
2015-01-15 00:00:00,풋고추,풋고추(전체),10kg,상품,73900,71100,62100
2015-01-16 00:00:00,풋고추,풋고추(전체),10kg,상품,71100,73900,61400
2015-01-19 00:00:00,풋고추,풋고추(전체),10kg,상품,78300,-,-
2015-01-20 00:00:00,풋고추,풋고추(전체),10kg,상품,82000,78300,62400
2015-01-21 00:00:00,풋고추,풋고추(전체),10kg,상품,83900,82000,73400
2015-01-22 00:00:00,풋고추,풋고추(전체),10kg,상품,82900,83900,82000
2015-01-23 00:00:00,풋고추,풋고추(전체),10kg,상품,85800,82900,72000
2015-01-26 00:00:00,풋고추,풋고추(전체),10kg,상품,95300,-,-
2015-01-27 00:00:00,풋고추,풋고추(전체),10kg,상품,104400,95300,62500
2015-01-28 00:00:00,풋고추,풋고추(전체),10kg,상품,108600,104400,64500
2015-01-29 00:00:00,풋고추,풋고추(전체),10kg,상품,110800,108600,66300
2015-01-30 00:00:00,풋고추,풋고추(전체),10kg,상품,115300,110800,-
2015-02-02 00:00:00,풋고추,풋고추(전체),10kg,상품,127100,-,-
2015-02-03 00:00:00,풋고추,풋고추(전체),10kg,상품,131700,127100,66300
2015-02-04 00:00:00,풋고추,풋고추(전체),10kg,상품,128600,131700,76100
2015-02-05 00:00:00,풋고추,풋고추(전체),10kg,상품,127100,128600,63700
2015-02-06 00:00:00,풋고추,풋고추(전체),10kg,상품,130800,127100,51600
2015-02-09 00:00:00,풋고추,풋고추(전체),10kg,상품,136000,-,-
