DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,풋고추,풋고추(전체),4kg,중품,22600,-,23000
2015-01-05 00:00:00,풋고추,풋고추(전체),4kg,중품,21000,-,-
2015-01-06 00:00:00,풋고추,풋고추(전체),4kg,중품,20000,21000,24200
2015-01-07 00:00:00,풋고추,풋고추(전체),4kg,중품,20000,20000,24800
2015-01-08 00:00:00,풋고추,풋고추(전체),4kg,중품,19600,20000,24800
2015-01-09 00:00:00,풋고추,풋고추(전체),4kg,중품,19200,19600,25000
2015-01-12 00:00:00,풋고추,풋고추(전체),4kg,중품,19600,-,-
2015-01-13 00:00:00,풋고추,풋고추(전체),4kg,중품,20800,19600,27400
2015-01-14 00:00:00,풋고추,풋고추(전체),4kg,중품,21800,20800,28800
2015-01-15 00:00:00,풋고추,풋고추(전체),4kg,중품,23400,21800,28800
2015-01-16 00:00:00,풋고추,풋고추(전체),4kg,중품,24800,23400,28200
2015-01-19 00:00:00,풋고추,풋고추(전체),4kg,중품,27400,-,-
2015-01-20 00:00:00,풋고추,풋고추(전체),4kg,중품,27600,27400,31400
2015-01-21 00:00:00,풋고추,풋고추(전체),4kg,중품,28800,27600,34200
2015-01-22 00:00:00,풋고추,풋고추(전체),4kg,중품,29200,28800,34200
2015-01-23 00:00:00,풋고추,풋고추(전체),4kg,중품,30600,29200,32800
2015-01-26 00:00:00,풋고추,풋고추(전체),4kg,중품,32400,-,-
2015-01-27 00:00:00,풋고추,풋고추(전체),4kg,중품,32400,32400,32600
2015-01-28 00:00:00,풋고추,풋고추(전체),4kg,중품,33200,32400,34400
2015-01-29 00:00:00,풋고추,풋고추(전체),4kg,중품,34800,33200,37800
2015-01-30 00:00:00,풋고추,풋고추(전체),4kg,중품,34600,34800,-
2015-02-02 00:00:00,풋고추,풋고추(전체),4kg,중품,33600,-,-
2015-02-03 00:00:00,풋고추,풋고추(전체),4kg,중품,33600,33600,37800
2015-02-04 00:00:00,풋고추,풋고추(전체),4kg,중품,33000,33600,30000
2015-02-05 00:00:00,풋고추,풋고추(전체),4kg,중품,32200,33000,28000
2015-02-06 00:00:00,풋고추,풋고추(전체),4kg,중품,32000,32200,23000
2015-02-09 00:00:00,풋고추,풋고추(전체),4kg,중품,32200,-,-
2015-02-10 00:00:00,풋고추,풋고추(전체),4kg,중품,32800,32200,19200
2015-02-11 00:00:00,풋고추,풋고추(전체),4kg,중품,32400,32800,20400
