DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02 00:00:00,호두,호두(전체),100g,중품,2651.25,-,2907.702702702703
2015-01-05 00:00:00,호두,호두(전체),100g,중품,2651.25,-,-
2015-01-06 00:00:00,호두,호두(전체),100g,중품,2651.25,2651.25,2907.702702702703
2015-01-07 00:00:00,호두,호두(전체),100g,중품,2613.75,2651.25,2907.702702702703
2015-01-08 00:00:00,호두,호두(전체),100g,중품,2581.25,2613.75,2907.702702702703
2015-01-09 00:00:00,호두,호두(전체),100g,중품,2582.5,2581.25,2903.648648648649
2015-01-12 00:00:00,호두,호두(전체),100g,중품,2582.5,-,-
2015-01-13 00:00:00,호두,호두(전체),100g,중품,2582.5,2582.5,2884.729729729729
2015-01-14 00:00:00,호두,호두(전체),100g,중품,2583.875,2582.5,2884.729729729729
2015-01-15 00:00:00,호두,호두(전체),100g,중품,2801.375,2583.875,2853.378378378378
2015-01-16 00:00:00,호두,호두(전체),100g,중품,2801.375,2801.375,2873.108108108108
2015-01-19 00:00:00,호두,호두(전체),100g,중품,2801.375,-,-
2015-01-20 00:00:00,호두,호두(전체),100g,중품,2801.375,2801.375,2873.108108108108
2015-01-21 00:00:00,호두,호두(전체),100g,중품,2802.625,2801.375,2873.108108108108
2015-01-22 00:00:00,호두,호두(전체),100g,중품,2803.75,2802.625,2893.108108108108
2015-01-23 00:00:00,호두,호두(전체),100g,중품,2815,2803.75,2893.108108108108
2015-01-26 00:00:00,호두,호두(전체),100g,중품,2843.5,-,-
2015-01-27 00:00:00,호두,호두(전체),100g,중품,2844.25,2843.5,2893.108108108108
2015-01-28 00:00:00,호두,호두(전체),100g,중품,2838.25,2844.25,2893.108108108108
2015-01-29 00:00:00,호두,호두(전체),100g,중품,2575.75,2838.25,2893.108108108108
2015-01-30 00:00:00,호두,호두(전체),100g,중품,2564.75,2575.75,-
2015-02-02 00:00:00,호두,호두(전체),100g,중품,2564.75,-,-
2015-02-03 00:00:00,호두,호두(전체),100g,중품,2564.75,2564.75,2869
2015-02-04 00:00:00,호두,호두(전체),100g,중품,2584.25,2564.75,2869
2015-02-05 00:00:00,호두,호두(전체),100g,중품,2584.25,2584.25,2869
2015-02-06 00:00:00,호두,호두(전체),100g,중품,2551.75,2584.25,2871
2015-02-09 00:00:00,호두,호두(전체),100g,중품,2551.75,-,-
2015-02-10 00:00:00,호두,호두(전체),100g,중품,2551.75,2551.75,2868
2015-02-11 00:00:00,호두,호두(전체),100g,중품,2550.25,2551.75,2925
2015-02-12 00:00:00,호두,호두(전체),100g,중품,2807.5,2550.25,2913
2015-02-13 00:00:00,호두,호두(전체),100g,중품,2795.25,2807.5,2913
2015-02-16 00:00:00,호두,호두(전체),100g,중품,2795.25,-,-
2015-02-17 00:00:00,호두,호두(전체),100g,중품,2795.25,2795.25,2913
2015-02-23 00:00:00,호두,호두(전체),100g,중품,2783,-,-
2015-02-24 00:00:00,호두,호두(전체),100g,중품,2783,2783,2945
2015-02-25 00:00:00,호두,호두(전체),100g,중품,2783,2783,2944
2015-02-26 00:00:00,호두,호두(전체),100g,중품,2516.25,2783,2944
2015-02-27 00:00:00,호두,호두(전체),100g,중품,2516.25,2516.25,2933
2015-03-02 00:00:00,호두,호두(전체),100g,중품,2566,-,-
2015-03-03 00:00:00,호두,호두(전체),100g,중품,2566,2566,2952
