DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,감자,감자(전체),20kg,상품,21600,-,19600
2015-01-05,감자,감자(전체),20kg,상품,21600,-,-
2015-01-06,감자,감자(전체),20kg,상품,21800,21600,23600
2015-01-07,감자,감자(전체),20kg,상품,23000,21800,24200
2015-01-08,감자,감자(전체),20kg,상품,23000,23000,24000
2015-01-09,감자,감자(전체),20kg,상품,23000,23000,24400
2015-01-12,감자,감자(전체),20kg,상품,23000,-,-
2015-01-13,감자,감자(전체),20kg,상품,23000,23000,25100
2015-01-14,감자,감자(전체),20kg,상품,23000,23000,25100
2015-01-15,감자,감자(전체),20kg,상품,23000,23000,25100
2015-01-16,감자,감자(전체),20kg,상품,23000,23000,25100
2015-01-19,감자,감자(전체),20kg,상품,35900,-,-
2015-01-20,감자,감자(전체),20kg,상품,36200,35900,25100
2015-01-21,감자,감자(전체),20kg,상품,35600,36200,25700
2015-01-22,감자,감자(전체),20kg,상품,35700,35600,25700
2015-01-23,감자,감자(전체),20kg,상품,35700,35700,25500
2015-01-26,감자,감자(전체),20kg,상품,36800,-,-
2015-01-27,감자,감자(전체),20kg,상품,36200,36800,25300
2015-01-28,감자,감자(전체),20kg,상품,36700,36200,25300
2015-01-29,감자,감자(전체),20kg,상품,36700,36700,25300
2015-01-30,감자,감자(전체),20kg,상품,36600,36700,-
2015-02-02,감자,감자(전체),20kg,상품,37100,-,-
2015-02-03,감자,감자(전체),20kg,상품,37700,37100,25300
2015-02-04,감자,감자(전체),20kg,상품,37800,37700,25800
2015-02-05,감자,감자(전체),20kg,상품,38100,37800,25800
2015-02-06,감자,감자(전체),20kg,상품,39200,38100,25800
2015-02-09,감자,감자(전체),20kg,상품,39200,-,-
2015-02-10,감자,감자(전체),20kg,상품,40000,39200,27500
2015-02-11,감자,감자(전체),20kg,상품,40300,40000,28300
2015-02-12,감자,감자(전체),20kg,상품,40100,40300,28300
2015-02-13,감자,감자(전체),20kg,상품,40400,40100,28300
2015-02-16,감자,감자(전체),20kg,상품,40400,-,-
2015-02-17,감자,감자(전체),20kg,상품,40200,40400,28700
2015-02-23,감자,감자(전체),20kg,상품,40200,-,-
2015-02-24,감자,감자(전체),20kg,상품,39900,40200,27400
2015-02-25,감자,감자(전체),20kg,상품,40400,39900,27400
