DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,고구마,고구마(전체),1kg,중품,3009,-,2843.076923076923
2015-01-05,고구마,고구마(전체),1kg,중품,3009,-,-
2015-01-06,고구마,고구마(전체),1kg,중품,3009,3009.285714285714,2843.076923076923
2015-01-07,고구마,고구마(전체),1kg,중품,3009,3009.285714285714,2843.076923076923
2015-01-08,고구마,고구마(전체),1kg,중품,3009,3009.285714285714,2843.076923076923
2015-01-09,고구마,고구마(전체),1kg,중품,3009,3009.285714285714,2843.076923076923
2015-01-12,고구마,고구마(전체),1kg,중품,3009,-,-
2015-01-13,고구마,고구마(전체),1kg,중품,3009,3009.285714285714,2843.076923076923
2015-01-14,고구마,고구마(전체),1kg,중품,3009,3009.285714285714,2866.153846153846
2015-01-15,고구마,고구마(전체),1kg,중품,2995,3009.285714285714,2866.153846153846
2015-01-16,고구마,고구마(전체),1kg,중품,2995,2995,2866.153846153846
2015-01-19,고구마,고구마(전체),1kg,중품,2995,-,-
2015-01-20,고구마,고구마(전체),1kg,중품,2995,2995,2866.153846153846
2015-01-21,고구마,고구마(전체),1kg,중품,2995,2995,2866.153846153846
2015-01-22,고구마,고구마(전체),1kg,중품,2995,2995,2866.153846153846
2015-01-23,고구마,고구마(전체),1kg,중품,2995,2995,2866.153846153846
2015-01-26,고구마,고구마(전체),1kg,중품,2995,-,-
2015-01-27,고구마,고구마(전체),1kg,중품,2995,2995,2843.076923076923
2015-01-28,고구마,고구마(전체),1kg,중품,2995,2995,2843.076923076923
2015-01-29,고구마,고구마(전체),1kg,중품,2995,2995,2816.923076923077
2015-01-30,고구마,고구마(전체),1kg,중품,2995,2995,-
2015-02-02,고구마,고구마(전체),1kg,중품,2995,-,-
2015-02-03,고구마,고구마(전체),1kg,중품,3031,2995,2817
2015-02-04,고구마,고구마(전체),1kg,중품,3031,3030.714285714286,2817
2015-02-05,고구마,고구마(전체),1kg,중품,3031,3030.714285714286,2817
2015-02-06,고구마,고구마(전체),1kg,중품,3031,3030.714285714286,2817
2015-02-09,고구마,고구마(전체),1kg,중품,3027,-,-
2015-02-10,고구마,고구마(전체),1kg,중품,3061,3027.333333333334,2817
2015-02-11,고구마,고구마(전체),1kg,중품,3061,3060.666666666666,2817
2015-02-12,고구마,고구마(전체),1kg,중품,3061,3060.666666666666,2817
2015-02-13,고구마,고구마(전체),1kg,중품,3094,3060.666666666666,2817
2015-02-16,고구마,고구마(전체),1kg,중품,3127,-,-
2015-02-17,고구마,고구마(전체),1kg,중품,3127,3127.333333333334,2817
2015-02-23,고구마,고구마(전체),1kg,중품,3199,-,-
2015-02-24,고구마,고구마(전체),1kg,중품,3199,3199.333333333334,2832
2015-02-25,고구마,고구마(전체),1kg,중품,3199,3199.333333333334,2832
2015-02-26,고구마,고구마(전체),1kg,중품,3199,3199.333333333334,2826
2015-02-27,고구마,고구마(전체),1kg,중품,3199,3199.333333333334,2826
2015-03-02,고구마,고구마(전체),1kg,중품,3210,-,-
2015-03-03,고구마,고구마(전체),1kg,중품,3190,3210,2826
2015-03-04,고구마,고구마(전체),1kg,중품,3223,3190,2811
2015-03-05,고구마,고구마(전체),1kg,중품,3133,3223.333333333334,2811
