DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,느타리버섯,느타리버섯(전체),100g,중품,739,-,670
2015-01-05,느타리버섯,느타리버섯(전체),100g,중품,739,-,-
2015-01-06,느타리버섯,느타리버섯(전체),100g,중품,734,738.8888888888889,670
2015-01-07,느타리버섯,느타리버섯(전체),100g,중품,734,734.4444444444445,670
2015-01-08,느타리버섯,느타리버섯(전체),100g,중품,738,734.4444444444445,670
2015-01-09,느타리버섯,느타리버섯(전체),100g,중품,738,738.3333333333334,670
2015-01-12,느타리버섯,느타리버섯(전체),100g,중품,738,-,-
2015-01-13,느타리버섯,느타리버섯(전체),100g,중품,738,738.3333333333334,670
2015-01-14,느타리버섯,느타리버섯(전체),100g,중품,735,738.3333333333334,670
2015-01-15,느타리버섯,느타리버섯(전체),100g,중품,756,735,670
2015-01-16,느타리버섯,느타리버섯(전체),100g,중품,758,755.5555555555555,670
2015-01-19,느타리버섯,느타리버섯(전체),100g,중품,727,-,-
2015-01-20,느타리버섯,느타리버섯(전체),100g,중품,728,726.6666666666666,670
2015-01-21,느타리버섯,느타리버섯(전체),100g,중품,738,728.3333333333334,670
2015-01-22,느타리버섯,느타리버섯(전체),100g,중품,740,738.3333333333334,670
2015-01-23,느타리버섯,느타리버섯(전체),100g,중품,740,740,705.7142857142857
2015-01-26,느타리버섯,느타리버섯(전체),100g,중품,740,-,-
2015-01-27,느타리버섯,느타리버섯(전체),100g,중품,742,740,715
2015-01-28,느타리버섯,느타리버섯(전체),100g,중품,725,741.6666666666666,729.2857142857143
2015-01-29,느타리버섯,느타리버섯(전체),100g,중품,741,725,750.7142857142857
2015-01-30,느타리버섯,느타리버섯(전체),100g,중품,747,741.1111111111111,-
2015-02-02,느타리버섯,느타리버섯(전체),100g,중품,747,-,-
2015-02-03,느타리버섯,느타리버섯(전체),100g,중품,747,746.6666666666666,761
2015-02-04,느타리버섯,느타리버섯(전체),100g,중품,747,746.6666666666666,733
2015-02-05,느타리버섯,느타리버섯(전체),100g,중품,752,746.6666666666666,733
2015-02-06,느타리버섯,느타리버섯(전체),100g,중품,758,752.2222222222222,721
2015-02-09,느타리버섯,느타리버섯(전체),100g,중품,758,-,-
2015-02-10,느타리버섯,느타리버섯(전체),100g,중품,772,757.7777777777778,707
2015-02-11,느타리버섯,느타리버섯(전체),100g,중품,800,772.2222222222222,714
2015-02-12,느타리버섯,느타리버섯(전체),100g,중품,782,800,714
2015-02-13,느타리버섯,느타리버섯(전체),100g,중품,787,781.6666666666666,714
2015-02-16,느타리버섯,느타리버섯(전체),100g,중품,859,-,-
2015-02-17,느타리버섯,느타리버섯(전체),100g,중품,870,858.8888888888889,711
2015-02-23,느타리버섯,느타리버섯(전체),100g,중품,862,-,-
2015-02-24,느타리버섯,느타리버섯(전체),100g,중품,834,861.6666666666666,699
2015-02-25,느타리버섯,느타리버섯(전체),100g,중품,793,834.4444444444445,699
2015-02-26,느타리버섯,느타리버섯(전체),100g,중품,783,793.3333333333334,699
2015-02-27,느타리버섯,느타리버섯(전체),100g,중품,752,783.3333333333334,681
