DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,당근,당근(전체),20kg,상품,16200,-,20000
2015-01-05,당근,당근(전체),20kg,상품,16200,-,-
2015-01-06,당근,당근(전체),20kg,상품,16200,16200,20000
2015-01-07,당근,당근(전체),20kg,상품,15800,16200,20000
2015-01-08,당근,당근(전체),20kg,상품,15800,15800,19800
2015-01-09,당근,당근(전체),20kg,상품,16000,15800,19800
2015-01-12,당근,당근(전체),20kg,상품,16000,-,-
2015-01-13,당근,당근(전체),20kg,상품,16000,16000,19800
2015-01-14,당근,당근(전체),20kg,상품,16000,16000,19800
2015-01-15,당근,당근(전체),20kg,상품,16000,16000,19800
2015-01-16,당근,당근(전체),20kg,상품,16200,16000,19800
2015-01-19,당근,당근(전체),20kg,상품,16200,-,-
2015-01-20,당근,당근(전체),20kg,상품,16200,16200,20200
2015-01-21,당근,당근(전체),20kg,상품,16200,16200,20200
2015-01-22,당근,당근(전체),20kg,상품,16200,16200,20600
2015-01-23,당근,당근(전체),20kg,상품,16200,16200,21000
2015-01-26,당근,당근(전체),20kg,상품,16200,-,-
2015-01-27,당근,당근(전체),20kg,상품,16200,16200,20200
2015-01-28,당근,당근(전체),20kg,상품,16200,16200,20200
2015-01-29,당근,당근(전체),20kg,상품,16200,16200,20200
2015-01-30,당근,당근(전체),20kg,상품,16200,16200,-
2015-02-02,당근,당근(전체),20kg,상품,16800,-,-
2015-02-03,당근,당근(전체),20kg,상품,16800,16800,20200
2015-02-04,당근,당근(전체),20kg,상품,16800,16800,20200
2015-02-05,당근,당근(전체),20kg,상품,17200,16800,20200
2015-02-06,당근,당근(전체),20kg,상품,17400,17200,19400
2015-02-09,당근,당근(전체),20kg,상품,17400,-,-
2015-02-10,당근,당근(전체),20kg,상품,18000,17400,19200
2015-02-11,당근,당근(전체),20kg,상품,18600,18000,19200
2015-02-12,당근,당근(전체),20kg,상품,19000,18600,19200
2015-02-13,당근,당근(전체),20kg,상품,19000,19000,19200
2015-02-16,당근,당근(전체),20kg,상품,19400,-,-
2015-02-17,당근,당근(전체),20kg,상품,19400,19400,19200
2015-02-23,당근,당근(전체),20kg,상품,19400,-,-
2015-02-24,당근,당근(전체),20kg,상품,19400,19400,17000
2015-02-25,당근,당근(전체),20kg,상품,19400,19400,17000
2015-02-26,당근,당근(전체),20kg,상품,20600,19400,17000
2015-02-27,당근,당근(전체),20kg,상품,20800,20600,17000
2015-03-02,당근,당근(전체),20kg,상품,20800,-,-
2015-03-03,당근,당근(전체),20kg,상품,20800,20800,17000
