DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,무,무(전체),18kg,상품,8010,-,8100
2015-01-05,무,무(전체),18kg,상품,8100,-,-
2015-01-06,무,무(전체),18kg,상품,8100,8100,7920
2015-01-07,무,무(전체),18kg,상품,8100,8100,8100
2015-01-08,무,무(전체),18kg,상품,8100,8100,8100
2015-01-09,무,무(전체),18kg,상품,8100,8100,8280
2015-01-12,무,무(전체),18kg,상품,8100,-,-
2015-01-13,무,무(전체),18kg,상품,8100,8100,7740
2015-01-14,무,무(전체),18kg,상품,8100,8100,7740
2015-01-15,무,무(전체),18kg,상품,7740,8100,7740
2015-01-16,무,무(전체),18kg,상품,7740,7740,7740
2015-01-19,무,무(전체),18kg,상품,7740,-,-
2015-01-20,무,무(전체),18kg,상품,7740,7740,7740
2015-01-21,무,무(전체),18kg,상품,7740,7740,7380
2015-01-22,무,무(전체),18kg,상품,7740,7740,7740
2015-01-23,무,무(전체),18kg,상품,7740,7740,7740
2015-01-26,무,무(전체),18kg,상품,7740,-,-
2015-01-27,무,무(전체),18kg,상품,7920,7740,7380
2015-01-28,무,무(전체),18kg,상품,7920,7920,7380
2015-01-29,무,무(전체),18kg,상품,7920,7920,7380
2015-01-30,무,무(전체),18kg,상품,7920,7920,-
2015-02-02,무,무(전체),18kg,상품,7920,-,-
2015-02-03,무,무(전체),18kg,상품,8100,7920,7380
2015-02-04,무,무(전체),18kg,상품,8100,8100,7560
2015-02-05,무,무(전체),18kg,상품,8100,8100,7380
2015-02-06,무,무(전체),18kg,상품,8100,8100,7380
2015-02-09,무,무(전체),18kg,상품,8100,-,-
2015-02-10,무,무(전체),18kg,상품,8100,8100,7560
2015-02-11,무,무(전체),18kg,상품,8100,8100,7560
2015-02-12,무,무(전체),18kg,상품,9360,8100,7560
2015-02-13,무,무(전체),18kg,상품,9540,9360,7560
2015-02-16,무,무(전체),18kg,상품,9540,-,-
2015-02-17,무,무(전체),18kg,상품,9540,9540,7380
