DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,무,무(전체),18kg,중품,6210,-,6300
2015-01-05,무,무(전체),18kg,중품,6300,-,-
2015-01-06,무,무(전체),18kg,중품,6300,6300,6120
2015-01-07,무,무(전체),18kg,중품,6300,6300,6300
2015-01-08,무,무(전체),18kg,중품,6300,6300,6300
2015-01-09,무,무(전체),18kg,중품,6300,6300,6480
2015-01-12,무,무(전체),18kg,중품,6300,-,-
2015-01-13,무,무(전체),18kg,중품,6300,6300,5940
2015-01-14,무,무(전체),18kg,중품,6300,6300,5940
2015-01-15,무,무(전체),18kg,중품,5940,6300,5940
2015-01-16,무,무(전체),18kg,중품,5940,5940,5940
2015-01-19,무,무(전체),18kg,중품,5940,-,-
2015-01-20,무,무(전체),18kg,중품,5940,5940,5940
2015-01-21,무,무(전체),18kg,중품,5940,5940,5580
2015-01-22,무,무(전체),18kg,중품,5940,5940,5940
2015-01-23,무,무(전체),18kg,중품,5940,5940,5940
2015-01-26,무,무(전체),18kg,중품,5940,-,-
2015-01-27,무,무(전체),18kg,중품,6120,5940,5580
2015-01-28,무,무(전체),18kg,중품,6120,6120,5580
2015-01-29,무,무(전체),18kg,중품,6120,6120,5580
2015-01-30,무,무(전체),18kg,중품,6120,6120,-
2015-02-02,무,무(전체),18kg,중품,6120,-,-
2015-02-03,무,무(전체),18kg,중품,6300,6120,5580
2015-02-04,무,무(전체),18kg,중품,6300,6300,5760
2015-02-05,무,무(전체),18kg,중품,6300,6300,5580
2015-02-06,무,무(전체),18kg,중품,6300,6300,5580
2015-02-09,무,무(전체),18kg,중품,6300,-,-
2015-02-10,무,무(전체),18kg,중품,6300,6300,5760
2015-02-11,무,무(전체),18kg,중품,6480,6300,5760
2015-02-12,무,무(전체),18kg,중품,7560,6480,5760
2015-02-13,무,무(전체),18kg,중품,7740,7560,5760
2015-02-16,무,무(전체),18kg,중품,7740,-,-
2015-02-17,무,무(전체),18kg,중품,7740,7740,5580
2015-02-23,무,무(전체),18kg,중품,7200,-,-
2015-02-24,무,무(전체),18kg,중품,7200,7200,5508
2015-02-25,무,무(전체),18kg,중품,7380,7200,5508
2015-02-26,무,무(전체),18kg,중품,7380,7380,5148
2015-02-27,무,무(전체),18kg,중품,7200,7380,5220
2015-03-02,무,무(전체),18kg,중품,7020,-,-
2015-03-03,무,무(전체),18kg,중품,7020,7020,5328
2015-03-04,무,무(전체),18kg,중품,6840,7020,5364
2015-03-05,무,무(전체),18kg,중품,6840,6840,5724
2015-03-06,무,무(전체),18kg,중품,6840,6840,6084
2015-03-09,무,무(전체),18kg,중품,6840,-,-
2015-03-10,무,무(전체),18kg,중품,6840,6840,6300
2015-03-11,무,무(전체),18kg,중품,6840,6840,6372
2015-03-12,무,무(전체),18kg,중품,6840,6840,6264
2015-03-13,무,무(전체),18kg,중품,6840,6840,6300
2015-03-16,무,무(전체),18kg,중품,6840,-,-
2015-03-17,무,무(전체),18kg,중품,6840,6840,6120
2015-03-18,무,무(전체),18kg,중품,6840,6840,6120
2015-03-19,무,무(전체),18kg,중품,7020,6840,5940
2015-03-20,무,무(전체),18kg,중품,7020,7020,5940
2015-03-23,무,무(전체),18kg,중품,7020,-,-
2015-03-24,무,무(전체),18kg,중품,7020,7020,5940
2015-03-25,무,무(전체),18kg,중품,7020,7020,5940
2015-03-26,무,무(전체),18kg,중품,7380,7020,5940
2015-03-27,무,무(전체),18kg,중품,7380,7380,5940
2015-03-30,무,무(전체),18kg,중품,7200,-,-
2015-03-31,무,무(전체),18kg,중품,7200,7200,6012
2015-04-01,무,무(전체),18kg,중품,7200,7200,6048
2015-04-02,무,무(전체),18kg,중품,7200,7200,6228
2015-04-03,무,무(전체),18kg,중품,7200,7200,6300
2015-04-06,무,무(전체),18kg,중품,7200,-,-
2015-04-07,무,무(전체),18kg,중품,7200,7200,6120
2015-04-08,무,무(전체),18kg,중품,7560,7200,6120
2015-04-09,무,무(전체),18kg,중품,7920,7560,5940
2015-04-10,무,무(전체),18kg,중품,7740,7920,5940
2015-04-13,무,무(전체),18kg,중품,7380,-,-
2015-04-14,무,무(전체),18kg,중품,7560,7380,6120
2015-04-15,무,무(전체),18kg,중품,6660,7560,6120
