DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,배,배(전체),15kg,상품,33400,-,41400
2015-01-05,배,배(전체),15kg,상품,33400,-,-
2015-01-06,배,배(전체),15kg,상품,34800,33400,42000
2015-01-07,배,배(전체),15kg,상품,34800,34800,42000
2015-01-08,배,배(전체),15kg,상품,35200,34800,42000
2015-01-09,배,배(전체),15kg,상품,35200,35200,44800
2015-01-12,배,배(전체),15kg,상품,35200,-,-
2015-01-13,배,배(전체),15kg,상품,35200,35200,46400
2015-01-14,배,배(전체),15kg,상품,35200,35200,46400
2015-01-15,배,배(전체),15kg,상품,35600,35200,46400
2015-01-16,배,배(전체),15kg,상품,35600,35600,46400
2015-01-19,배,배(전체),15kg,상품,35600,-,-
2015-01-20,배,배(전체),15kg,상품,35600,35600,47600
2015-01-21,배,배(전체),15kg,상품,35600,35600,50200
2015-01-22,배,배(전체),15kg,상품,35600,35600,50200
2015-01-23,배,배(전체),15kg,상품,35000,35600,50200
2015-01-26,배,배(전체),15kg,상품,35000,-,-
2015-01-27,배,배(전체),15kg,상품,35600,35000,50200
2015-01-28,배,배(전체),15kg,상품,35600,35600,50200
2015-01-29,배,배(전체),15kg,상품,35600,35600,50200
2015-01-30,배,배(전체),15kg,상품,36000,35600,-
2015-02-02,배,배(전체),15kg,상품,36000,-,-
2015-02-03,배,배(전체),15kg,상품,36000,36000,50200
2015-02-04,배,배(전체),15kg,상품,37000,36000,50200
2015-02-05,배,배(전체),15kg,상품,36200,37000,50200
2015-02-06,배,배(전체),15kg,상품,35800,36200,50200
2015-02-09,배,배(전체),15kg,상품,35800,-,-
2015-02-10,배,배(전체),15kg,상품,35800,35800,48600
2015-02-11,배,배(전체),15kg,상품,35800,35800,48200
2015-02-12,배,배(전체),15kg,상품,35800,35800,48200
2015-02-13,배,배(전체),15kg,상품,36400,35800,47000
2015-02-16,배,배(전체),15kg,상품,36400,-,-
2015-02-17,배,배(전체),15kg,상품,36000,36400,46000
2015-02-23,배,배(전체),15kg,상품,36000,-,-
2015-02-24,배,배(전체),15kg,상품,36000,36000,45200
2015-02-25,배,배(전체),15kg,상품,36800,36000,45200
2015-02-26,배,배(전체),15kg,상품,36800,36800,45200
2015-02-27,배,배(전체),15kg,상품,36800,36800,45200
2015-03-02,배,배(전체),15kg,상품,36800,-,-
2015-03-03,배,배(전체),15kg,상품,37800,36800,45800
2015-03-04,배,배(전체),15kg,상품,37800,37800,45800
2015-03-05,배,배(전체),15kg,상품,37800,37800,45800
2015-03-06,배,배(전체),15kg,상품,37800,37800,45800
2015-03-09,배,배(전체),15kg,상품,37800,-,-
2015-03-10,배,배(전체),15kg,상품,37800,37800,44400
2015-03-11,배,배(전체),15kg,상품,38400,37800,44400
2015-03-12,배,배(전체),15kg,상품,39800,38400,44400
2015-03-13,배,배(전체),15kg,상품,39800,39800,44400
2015-03-16,배,배(전체),15kg,상품,39800,-,-
2015-03-17,배,배(전체),15kg,상품,39800,39800,44400
2015-03-18,배,배(전체),15kg,상품,39800,39800,44400
2015-03-19,배,배(전체),15kg,상품,39800,39800,44400
2015-03-20,배,배(전체),15kg,상품,39800,39800,44400
2015-03-23,배,배(전체),15kg,상품,39800,-,-
2015-03-24,배,배(전체),15kg,상품,39800,39800,44400
2015-03-25,배,배(전체),15kg,상품,38800,39800,44400
2015-03-26,배,배(전체),15kg,상품,39400,38800,44400
2015-03-27,배,배(전체),15kg,상품,40400,39400,44400
2015-03-30,배,배(전체),15kg,상품,40400,-,-
2015-03-31,배,배(전체),15kg,상품,40800,40400,44400
2015-04-01,배,배(전체),15kg,상품,40800,40800,44400
2015-04-02,배,배(전체),15kg,상품,40800,40800,44400
2015-04-03,배,배(전체),15kg,상품,40800,40800,45200
2015-04-06,배,배(전체),15kg,상품,39800,-,-
2015-04-07,배,배(전체),15kg,상품,39800,39800,45200
2015-04-08,배,배(전체),15kg,상품,39800,39800,45200
2015-04-09,배,배(전체),15kg,상품,39200,39800,45200
2015-04-10,배,배(전체),15kg,상품,39200,39200,45200
2015-04-13,배,배(전체),15kg,상품,39200,-,-
2015-04-14,배,배(전체),15kg,상품,39200,39200,45200
2015-04-15,배,배(전체),15kg,상품,39200,39200,45200
2015-04-16,배,배(전체),15kg,상품,40800,39200,45200
2015-04-17,배,배(전체),15kg,상품,40800,40800,45200
2015-04-20,배,배(전체),15kg,상품,40800,-,-
2015-04-21,배,배(전체),15kg,상품,40800,40800,45200
2015-04-22,배,배(전체),15kg,상품,40800,40800,45200
2015-04-23,배,배(전체),15kg,상품,40800,40800,45200
2015-04-24,배,배(전체),15kg,상품,40800,40800,45200
2015-04-27,배,배(전체),15kg,상품,40800,-,-
2015-04-28,배,배(전체),15kg,상품,40800,40800,45200
2015-04-29,배,배(전체),15kg,상품,40800,40800,45200
2015-04-30,배,배(전체),15kg,상품,40800,40800,45200
2015-05-04,배,배(전체),15kg,상품,40800,-,-
2015-05-06,배,배(전체),15kg,상품,40800,-,-
2015-05-07,배,배(전체),15kg,상품,40800,40800,46200
2015-05-08,배,배(전체),15kg,상품,40800,40800,46800
2015-05-11,배,배(전체),15kg,상품,41200,-,-
2015-05-12,배,배(전체),15kg,상품,41200,41200,46800
2015-05-13,배,배(전체),15kg,상품,40600,41200,46800
2015-05-14,배,배(전체),15kg,상품,40600,40600,46800
2015-05-15,배,배(전체),15kg,상품,40600,40600,47200
2015-05-18,배,배(전체),15kg,상품,40600,-,-
2015-05-19,배,배(전체),15kg,상품,40600,40600,48400
2015-05-20,배,배(전체),15kg,상품,40600,40600,50400
2015-05-21,배,배(전체),15kg,상품,40600,40600,52200
2015-05-22,배,배(전체),15kg,상품,41600,40600,52200
2015-05-26,배,배(전체),15kg,상품,41200,-,52200
2015-05-27,배,배(전체),15kg,상품,41200,41200,52200
2015-05-28,배,배(전체),15kg,상품,41200,41200,53200
2015-05-29,배,배(전체),15kg,상품,41200,41200,53200
2015-06-01,배,배(전체),15kg,상품,41200,-,-
2015-06-02,배,배(전체),15kg,상품,41200,41200,53200
2015-06-03,배,배(전체),15kg,상품,41200,41200,53200
2015-06-04,배,배(전체),15kg,상품,41200,41200,-
2015-06-05,배,배(전체),15kg,상품,41200,41200,57200
2015-06-08,배,배(전체),15kg,상품,41200,-,-
2015-06-09,배,배(전체),15kg,상품,41200,41200,57200
2015-06-10,배,배(전체),15kg,상품,40000,41200,57200
2015-06-11,배,배(전체),15kg,상품,40000,40000,57200
2015-06-12,배,배(전체),15kg,상품,39600,40000,57200
2015-06-15,배,배(전체),15kg,상품,39600,-,-
2015-06-16,배,배(전체),15kg,상품,39600,39600,58800
2015-06-17,배,배(전체),15kg,상품,39600,39600,61400
2015-06-18,배,배(전체),15kg,상품,39600,39600,61400
2015-06-19,배,배(전체),15kg,상품,39600,39600,61400
2015-06-22,배,배(전체),15kg,상품,39600,-,-
2015-06-23,배,배(전체),15kg,상품,39600,39600,60800
2015-06-24,배,배(전체),15kg,상품,39600,39600,61800
2015-06-25,배,배(전체),15kg,상품,39600,39600,62800
2015-06-26,배,배(전체),15kg,상품,39600,39600,62800
2015-06-29,배,배(전체),15kg,상품,39600,-,-
2015-06-30,배,배(전체),15kg,상품,39600,39600,63800
2015-07-01,배,배(전체),15kg,상품,39600,39600,68400
2015-07-02,배,배(전체),15kg,상품,39600,39600,73000
2015-07-03,배,배(전체),15kg,상품,39600,39600,73000
2015-07-06,배,배(전체),15kg,상품,39600,-,-
2015-07-07,배,배(전체),15kg,상품,39600,39600,79000
2015-07-08,배,배(전체),15kg,상품,39600,39600,78000
2015-07-09,배,배(전체),15kg,상품,39600,39600,80000
2015-07-10,배,배(전체),15kg,상품,39600,39600,80000
2015-07-13,배,배(전체),15kg,상품,39600,-,-
2015-07-14,배,배(전체),15kg,상품,39600,39600,80000
2015-07-15,배,배(전체),15kg,상품,39600,39600,81000
2015-07-16,배,배(전체),15kg,상품,39600,39600,81000
2015-07-17,배,배(전체),15kg,상품,39600,39600,81000
2015-07-20,배,배(전체),15kg,상품,39600,-,-
2015-07-21,배,배(전체),15kg,상품,39600,39600,84000
2015-07-22,배,배(전체),15kg,상품,39600,39600,83000
2015-07-23,배,배(전체),15kg,상품,39600,39600,83000
2015-07-24,배,배(전체),15kg,상품,39600,39600,83000
2015-07-27,배,배(전체),15kg,상품,39600,-,-
2015-07-28,배,배(전체),15kg,상품,39600,39600,83000
2015-07-29,배,배(전체),15kg,상품,39600,39600,83000
2015-07-30,배,배(전체),15kg,상품,39600,39600,83000
2015-07-31,배,배(전체),15kg,상품,39600,39600,83000
2015-08-03,배,배(전체),15kg,상품,39600,-,-
2015-08-04,배,배(전체),15kg,상품,39600,39600,83000
2015-08-05,배,배(전체),15kg,상품,39600,39600,83000
2015-08-06,배,배(전체),15kg,상품,39600,39600,83000
2015-08-07,배,배(전체),15kg,상품,39600,39600,83000
2015-08-10,배,배(전체),15kg,상품,39600,-,-
2015-08-11,배,배(전체),15kg,상품,39600,39600,83000
2015-08-12,배,배(전체),15kg,상품,39600,39600,57800
2015-08-13,배,배(전체),15kg,상품,38600,39600,57600
