DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,배,배(전체),15kg,중품,27600,-,34000
2015-01-05,배,배(전체),15kg,중품,27600,-,-
2015-01-06,배,배(전체),15kg,중품,28800,27600,34600
2015-01-07,배,배(전체),15kg,중품,28800,28800,34600
2015-01-08,배,배(전체),15kg,중품,29200,28800,34600
2015-01-09,배,배(전체),15kg,중품,29200,29200,36400
2015-01-12,배,배(전체),15kg,중품,29200,-,-
2015-01-13,배,배(전체),15kg,중품,29200,29200,38000
2015-01-14,배,배(전체),15kg,중품,29200,29200,38000
2015-01-15,배,배(전체),15kg,중품,29600,29200,38000
2015-01-16,배,배(전체),15kg,중품,29600,29600,38000
2015-01-19,배,배(전체),15kg,중품,29600,-,-
2015-01-20,배,배(전체),15kg,중품,29600,29600,38800
2015-01-21,배,배(전체),15kg,중품,29600,29600,39800
2015-01-22,배,배(전체),15kg,중품,29600,29600,39800
2015-01-23,배,배(전체),15kg,중품,29000,29600,39800
2015-01-26,배,배(전체),15kg,중품,28800,-,-
2015-01-27,배,배(전체),15kg,중품,29200,28800,39800
2015-01-28,배,배(전체),15kg,중품,29200,29200,39800
2015-01-29,배,배(전체),15kg,중품,29200,29200,39800
2015-01-30,배,배(전체),15kg,중품,29600,29200,-
2015-02-02,배,배(전체),15kg,중품,29600,-,-
2015-02-03,배,배(전체),15kg,중품,29600,29600,39800
2015-02-04,배,배(전체),15kg,중품,30200,29600,39800
2015-02-05,배,배(전체),15kg,중품,29600,30200,39800
2015-02-06,배,배(전체),15kg,중품,29200,29600,39800
2015-02-09,배,배(전체),15kg,중품,29200,-,-
2015-02-10,배,배(전체),15kg,중품,29200,29200,38800
2015-02-11,배,배(전체),15kg,중품,29200,29200,38600
2015-02-12,배,배(전체),15kg,중품,29200,29200,38600
2015-02-13,배,배(전체),15kg,중품,29200,29200,36000
2015-02-16,배,배(전체),15kg,중품,29200,-,-
2015-02-17,배,배(전체),15kg,중품,29000,29200,36000
2015-02-23,배,배(전체),15kg,중품,29000,-,-
2015-02-24,배,배(전체),15kg,중품,29000,29000,36000
2015-02-25,배,배(전체),15kg,중품,29600,29000,36000
2015-02-26,배,배(전체),15kg,중품,29600,29600,36000
2015-02-27,배,배(전체),15kg,중품,29600,29600,36000
2015-03-02,배,배(전체),15kg,중품,29600,-,-
2015-03-03,배,배(전체),15kg,중품,31200,29600,36400
2015-03-04,배,배(전체),15kg,중품,31200,31200,36400
2015-03-05,배,배(전체),15kg,중품,31200,31200,36400
2015-03-06,배,배(전체),15kg,중품,31200,31200,36400
2015-03-09,배,배(전체),15kg,중품,31200,-,-
2015-03-10,배,배(전체),15kg,중품,31200,31200,35000
2015-03-11,배,배(전체),15kg,중품,32000,31200,35000
2015-03-12,배,배(전체),15kg,중품,33400,32000,35000
2015-03-13,배,배(전체),15kg,중품,33400,33400,35000
2015-03-16,배,배(전체),15kg,중품,33400,-,-
2015-03-17,배,배(전체),15kg,중품,33400,33400,35000
2015-03-18,배,배(전체),15kg,중품,33400,33400,35000
2015-03-19,배,배(전체),15kg,중품,33400,33400,35000
2015-03-20,배,배(전체),15kg,중품,33400,33400,35000
2015-03-23,배,배(전체),15kg,중품,33400,-,-
2015-03-24,배,배(전체),15kg,중품,33400,33400,35000
2015-03-25,배,배(전체),15kg,중품,32400,33400,35000
2015-03-26,배,배(전체),15kg,중품,33000,32400,35000
2015-03-27,배,배(전체),15kg,중품,34000,33000,35000
2015-03-30,배,배(전체),15kg,중품,34000,-,-
2015-03-31,배,배(전체),15kg,중품,34200,34000,35000
2015-04-01,배,배(전체),15kg,중품,34200,34200,35000
2015-04-02,배,배(전체),15kg,중품,34200,34200,35000
2015-04-03,배,배(전체),15kg,중품,34200,34200,35800
2015-04-06,배,배(전체),15kg,중품,33400,-,-
2015-04-07,배,배(전체),15kg,중품,33400,33400,35800
2015-04-08,배,배(전체),15kg,중품,33400,33400,35800
2015-04-09,배,배(전체),15kg,중품,32800,33400,35800
2015-04-10,배,배(전체),15kg,중품,32800,32800,35800
2015-04-13,배,배(전체),15kg,중품,32800,-,-
2015-04-14,배,배(전체),15kg,중품,32800,32800,35800
2015-04-15,배,배(전체),15kg,중품,32800,32800,35800
2015-04-16,배,배(전체),15kg,중품,33800,32800,35800
2015-04-17,배,배(전체),15kg,중품,33800,33800,35800
2015-04-20,배,배(전체),15kg,중품,33800,-,-
2015-04-21,배,배(전체),15kg,중품,33800,33800,35800
2015-04-22,배,배(전체),15kg,중품,33800,33800,35800
2015-04-23,배,배(전체),15kg,중품,33800,33800,35800
2015-04-24,배,배(전체),15kg,중품,33800,33800,35800
2015-04-27,배,배(전체),15kg,중품,33800,-,-
2015-04-28,배,배(전체),15kg,중품,33800,33800,35800
2015-04-29,배,배(전체),15kg,중품,33800,33800,35800
2015-04-30,배,배(전체),15kg,중품,33800,33800,35800
2015-05-04,배,배(전체),15kg,중품,33800,-,-
