DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,시금치,시금치(전체),4kg,상품,10600,-,7800
2015-01-05,시금치,시금치(전체),4kg,상품,11000,-,-
2015-01-06,시금치,시금치(전체),4kg,상품,11400,11000,8600
2015-01-07,시금치,시금치(전체),4kg,상품,11400,11400,8200
2015-01-08,시금치,시금치(전체),4kg,상품,11000,11400,8200
2015-01-09,시금치,시금치(전체),4kg,상품,9800,11000,8200
2015-01-12,시금치,시금치(전체),4kg,상품,9800,-,-
2015-01-13,시금치,시금치(전체),4kg,상품,9600,9800,7000
2015-01-14,시금치,시금치(전체),4kg,상품,10200,9600,7000
2015-01-15,시금치,시금치(전체),4kg,상품,9800,10200,7000
2015-01-16,시금치,시금치(전체),4kg,상품,10600,9800,7000
2015-01-19,시금치,시금치(전체),4kg,상품,11800,-,-
2015-01-20,시금치,시금치(전체),4kg,상품,11800,11800,6600
2015-01-21,시금치,시금치(전체),4kg,상품,12200,11800,7200
2015-01-22,시금치,시금치(전체),4kg,상품,11600,12200,7200
2015-01-23,시금치,시금치(전체),4kg,상품,11400,11600,7400
2015-01-26,시금치,시금치(전체),4kg,상품,11600,-,-
2015-01-27,시금치,시금치(전체),4kg,상품,11600,11600,7200
2015-01-28,시금치,시금치(전체),4kg,상품,12000,11600,7200
2015-01-29,시금치,시금치(전체),4kg,상품,12200,12000,7200
2015-01-30,시금치,시금치(전체),4kg,상품,12200,12200,-
2015-02-02,시금치,시금치(전체),4kg,상품,12400,-,-
2015-02-03,시금치,시금치(전체),4kg,상품,12400,12400,7200
2015-02-04,시금치,시금치(전체),4kg,상품,12000,12400,7600
2015-02-05,시금치,시금치(전체),4kg,상품,11800,12000,8200
2015-02-06,시금치,시금치(전체),4kg,상품,12000,11800,7600
2015-02-09,시금치,시금치(전체),4kg,상품,13000,-,-
2015-02-10,시금치,시금치(전체),4kg,상품,12600,13000,7400
2015-02-11,시금치,시금치(전체),4kg,상품,13000,12600,7200
2015-02-12,시금치,시금치(전체),4kg,상품,13000,13000,7200
2015-02-13,시금치,시금치(전체),4kg,상품,13000,13000,6600
2015-02-16,시금치,시금치(전체),4kg,상품,13400,-,-
2015-02-17,시금치,시금치(전체),4kg,상품,13000,13400,6600
2015-02-23,시금치,시금치(전체),4kg,상품,12300,-,-
2015-02-24,시금치,시금치(전체),4kg,상품,11600,12300,6600
2015-02-25,시금치,시금치(전체),4kg,상품,12400,11600,6600
2015-02-26,시금치,시금치(전체),4kg,상품,12400,12400,6600
2015-02-27,시금치,시금치(전체),4kg,상품,11600,12400,6600
2015-03-02,시금치,시금치(전체),4kg,상품,11200,-,-
2015-03-03,시금치,시금치(전체),4kg,상품,10200,11200,6800
2015-03-04,시금치,시금치(전체),4kg,상품,9600,10200,6600
2015-03-05,시금치,시금치(전체),4kg,상품,9200,9600,6600
2015-03-06,시금치,시금치(전체),4kg,상품,9200,9200,6600
2015-03-09,시금치,시금치(전체),4kg,상품,9200,-,-
2015-03-10,시금치,시금치(전체),4kg,상품,9600,9200,6200
2015-03-11,시금치,시금치(전체),4kg,상품,9800,9600,6200
2015-03-12,시금치,시금치(전체),4kg,상품,9200,9800,6600
2015-03-13,시금치,시금치(전체),4kg,상품,9200,9200,6600
2015-03-16,시금치,시금치(전체),4kg,상품,9200,-,-
2015-03-17,시금치,시금치(전체),4kg,상품,9800,9200,7200
2015-03-18,시금치,시금치(전체),4kg,상품,10400,9800,7200
2015-03-19,시금치,시금치(전체),4kg,상품,10400,10400,7400
2015-03-20,시금치,시금치(전체),4kg,상품,10000,10400,6200
2015-03-23,시금치,시금치(전체),4kg,상품,9800,-,-
2015-03-24,시금치,시금치(전체),4kg,상품,10000,9800,6000
2015-03-25,시금치,시금치(전체),4kg,상품,10000,10000,5800
2015-03-26,시금치,시금치(전체),4kg,상품,10000,10000,5800
2015-03-27,시금치,시금치(전체),4kg,상품,9400,10000,5800
2015-03-30,시금치,시금치(전체),4kg,상품,9200,-,-
2015-03-31,시금치,시금치(전체),4kg,상품,9200,9200,6000
2015-04-01,시금치,시금치(전체),4kg,상품,9200,9200,6000
2015-04-02,시금치,시금치(전체),4kg,상품,9200,9200,6000
2015-04-03,시금치,시금치(전체),4kg,상품,9200,9200,6000
2015-04-06,시금치,시금치(전체),4kg,상품,9200,-,-
2015-04-07,시금치,시금치(전체),4kg,상품,9200,9200,6200
2015-04-08,시금치,시금치(전체),4kg,상품,9200,9200,6400
2015-04-09,시금치,시금치(전체),4kg,상품,9200,9200,6600
2015-04-10,시금치,시금치(전체),4kg,상품,9200,9200,8200
2015-04-13,시금치,시금치(전체),4kg,상품,9200,-,-
2015-04-14,시금치,시금치(전체),4kg,상품,9800,9200,10000
2015-04-15,시금치,시금치(전체),4kg,상품,10200,9800,10000
2015-04-16,시금치,시금치(전체),4kg,상품,11400,10200,10800
2015-04-17,시금치,시금치(전체),4kg,상품,12000,11400,10400
2015-04-20,시금치,시금치(전체),4kg,상품,12000,-,-
2015-04-21,시금치,시금치(전체),4kg,상품,12600,12000,10600
2015-04-22,시금치,시금치(전체),4kg,상품,13400,12600,9600
2015-04-23,시금치,시금치(전체),4kg,상품,13800,13400,9400
2015-04-24,시금치,시금치(전체),4kg,상품,13800,13800,9400
2015-04-27,시금치,시금치(전체),4kg,상품,13800,-,-
2015-04-28,시금치,시금치(전체),4kg,상품,14000,13800,8800
2015-04-29,시금치,시금치(전체),4kg,상품,14000,14000,9200
2015-04-30,시금치,시금치(전체),4kg,상품,14000,14000,9400
2015-05-04,시금치,시금치(전체),4kg,상품,14000,-,-
2015-05-06,시금치,시금치(전체),4kg,상품,12600,-,-
2015-05-07,시금치,시금치(전체),4kg,상품,11600,12600,8600
2015-05-08,시금치,시금치(전체),4kg,상품,11600,11600,8800
2015-05-11,시금치,시금치(전체),4kg,상품,11800,-,-
2015-05-12,시금치,시금치(전체),4kg,상품,11200,11800,11200
2015-05-13,시금치,시금치(전체),4kg,상품,11200,11200,11200
2015-05-14,시금치,시금치(전체),4kg,상품,11200,11200,11200
2015-05-15,시금치,시금치(전체),4kg,상품,11200,11200,11000
2015-05-18,시금치,시금치(전체),4kg,상품,9400,-,-
2015-05-19,시금치,시금치(전체),4kg,상품,9400,9400,8600
2015-05-20,시금치,시금치(전체),4kg,상품,9400,9400,8600
2015-05-21,시금치,시금치(전체),4kg,상품,9400,9400,8000
2015-05-22,시금치,시금치(전체),4kg,상품,8400,9400,7800
2015-05-26,시금치,시금치(전체),4kg,상품,9400,-,7000
2015-05-27,시금치,시금치(전체),4kg,상품,9400,9400,7000
2015-05-28,시금치,시금치(전체),4kg,상품,9400,9400,7000
2015-05-29,시금치,시금치(전체),4kg,상품,9600,9400,7000
2015-06-01,시금치,시금치(전체),4kg,상품,10000,-,-
2015-06-02,시금치,시금치(전체),4kg,상품,10600,10000,7200
2015-06-03,시금치,시금치(전체),4kg,상품,11000,10600,7200
2015-06-04,시금치,시금치(전체),4kg,상품,10400,11000,-
2015-06-05,시금치,시금치(전체),4kg,상품,10000,10400,7800
2015-06-08,시금치,시금치(전체),4kg,상품,11800,-,-
2015-06-09,시금치,시금치(전체),4kg,상품,11200,11800,7800
2015-06-10,시금치,시금치(전체),4kg,상품,11400,11200,7800
2015-06-11,시금치,시금치(전체),4kg,상품,11000,11400,7600
2015-06-12,시금치,시금치(전체),4kg,상품,10400,11000,7600
