DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,열무,열무(전체),4kg,중품,3920,-,3360
2015-01-05,열무,열무(전체),4kg,중품,3920,-,-
2015-01-06,열무,열무(전체),4kg,중품,3920,3920,3440
2015-01-07,열무,열무(전체),4kg,중품,4080,3920,3440
2015-01-08,열무,열무(전체),4kg,중품,4240,4080,3120
2015-01-09,열무,열무(전체),4kg,중품,4240,4240,3120
2015-01-12,열무,열무(전체),4kg,중품,4240,-,-
2015-01-13,열무,열무(전체),4kg,중품,4240,4240,3040
2015-01-14,열무,열무(전체),4kg,중품,4240,4240,3040
2015-01-15,열무,열무(전체),4kg,중품,4320,4240,2840
2015-01-16,열무,열무(전체),4kg,중품,4320,4320,2920
2015-01-19,열무,열무(전체),4kg,중품,4400,-,-
2015-01-20,열무,열무(전체),4kg,중품,4400,4400,3000
2015-01-21,열무,열무(전체),4kg,중품,4400,4400,2840
2015-01-22,열무,열무(전체),4kg,중품,4560,4400,2840
2015-01-23,열무,열무(전체),4kg,중품,4560,4560,3000
2015-01-26,열무,열무(전체),4kg,중품,5120,-,-
2015-01-27,열무,열무(전체),4kg,중품,5120,5120,3000
2015-01-28,열무,열무(전체),4kg,중품,5120,5120,3000
2015-01-29,열무,열무(전체),4kg,중품,5120,5120,3360
2015-01-30,열무,열무(전체),4kg,중품,5120,5120,-
2015-02-02,열무,열무(전체),4kg,중품,4960,-,-
2015-02-03,열무,열무(전체),4kg,중품,5360,4960,3360
2015-02-04,열무,열무(전체),4kg,중품,5360,5360,3360
2015-02-05,열무,열무(전체),4kg,중품,5000,5360,3360
2015-02-06,열무,열무(전체),4kg,중품,5000,5000,3160
2015-02-09,열무,열무(전체),4kg,중품,5000,-,-
2015-02-10,열무,열무(전체),4kg,중품,5600,5000,3080
2015-02-11,열무,열무(전체),4kg,중품,5600,5600,3160
2015-02-12,열무,열무(전체),4kg,중품,5440,5600,3080
2015-02-13,열무,열무(전체),4kg,중품,5040,5440,3080
2015-02-16,열무,열무(전체),4kg,중품,5200,-,-
2015-02-17,열무,열무(전체),4kg,중품,5360,5200,2920
2015-02-23,열무,열무(전체),4kg,중품,5360,-,-
2015-02-24,열무,열무(전체),4kg,중품,5360,5360,2920
2015-02-25,열무,열무(전체),4kg,중품,5600,5360,3080
2015-02-26,열무,열무(전체),4kg,중품,5480,5600,3080
2015-02-27,열무,열무(전체),4kg,중품,5480,5480,3240
2015-03-02,열무,열무(전체),4kg,중품,5480,-,-
2015-03-03,열무,열무(전체),4kg,중품,4840,5480,3160
2015-03-04,열무,열무(전체),4kg,중품,5080,4840,3320
2015-03-05,열무,열무(전체),4kg,중품,4840,5080,3160
2015-03-06,열무,열무(전체),4kg,중품,4840,4840,3160
2015-03-09,열무,열무(전체),4kg,중품,5280,-,-
2015-03-10,열무,열무(전체),4kg,중품,5280,5280,3240
2015-03-11,열무,열무(전체),4kg,중품,5280,5280,3400
2015-03-12,열무,열무(전체),4kg,중품,5280,5280,3400
2015-03-13,열무,열무(전체),4kg,중품,5520,5280,3160
2015-03-16,열무,열무(전체),4kg,중품,5600,-,-
2015-03-17,열무,열무(전체),4kg,중품,4960,5600,3560
2015-03-18,열무,열무(전체),4kg,중품,5040,4960,3760
2015-03-19,열무,열무(전체),4kg,중품,5120,5040,3520
2015-03-20,열무,열무(전체),4kg,중품,5120,5120,3520
2015-03-23,열무,열무(전체),4kg,중품,5120,-,-
2015-03-24,열무,열무(전체),4kg,중품,4880,5120,3360
2015-03-25,열무,열무(전체),4kg,중품,4880,4880,3040
2015-03-26,열무,열무(전체),4kg,중품,5120,4880,2840
2015-03-27,열무,열무(전체),4kg,중품,5120,5120,2840
2015-03-30,열무,열무(전체),4kg,중품,4800,-,-
2015-03-31,열무,열무(전체),4kg,중품,4880,4800,2840
2015-04-01,열무,열무(전체),4kg,중품,4880,4880,2840
2015-04-02,열무,열무(전체),4kg,중품,4880,4880,2920
2015-04-03,열무,열무(전체),4kg,중품,4880,4880,2920
2015-04-06,열무,열무(전체),4kg,중품,5040,-,-
2015-04-07,열무,열무(전체),4kg,중품,4720,5040,2840
2015-04-08,열무,열무(전체),4kg,중품,4720,4720,2920
2015-04-09,열무,열무(전체),4kg,중품,4720,4720,2920
2015-04-10,열무,열무(전체),4kg,중품,4880,4720,2920
2015-04-13,열무,열무(전체),4kg,중품,4640,-,-
2015-04-14,열무,열무(전체),4kg,중품,5080,4640,3080
2015-04-15,열무,열무(전체),4kg,중품,5080,5080,3000
2015-04-16,열무,열무(전체),4kg,중품,5080,5080,3000
2015-04-17,열무,열무(전체),4kg,중품,5080,5080,2920
2015-04-20,열무,열무(전체),4kg,중품,5000,-,-
2015-04-21,열무,열무(전체),4kg,중품,5280,5000,2920
2015-04-22,열무,열무(전체),4kg,중품,5280,5280,2920
2015-04-23,열무,열무(전체),4kg,중품,5280,5280,2920
2015-04-24,열무,열무(전체),4kg,중품,5360,5280,3080
2015-04-27,열무,열무(전체),4kg,중품,5200,-,-
2015-04-28,열무,열무(전체),4kg,중품,5440,5200,3360
2015-04-29,열무,열무(전체),4kg,중품,5440,5440,3360
2015-04-30,열무,열무(전체),4kg,중품,5360,5440,3360
2015-05-04,열무,열무(전체),4kg,중품,5360,-,-
2015-05-06,열무,열무(전체),4kg,중품,5280,-,-
2015-05-07,열무,열무(전체),4kg,중품,4800,5280,3160
2015-05-08,열무,열무(전체),4kg,중품,4800,4800,3080
2015-05-11,열무,열무(전체),4kg,중품,4640,-,-
2015-05-12,열무,열무(전체),4kg,중품,4640,4640,3160
2015-05-13,열무,열무(전체),4kg,중품,4640,4640,3160
2015-05-14,열무,열무(전체),4kg,중품,4640,4640,3160
2015-05-15,열무,열무(전체),4kg,중품,4640,4640,3160
2015-05-18,열무,열무(전체),4kg,중품,4520,-,-
2015-05-19,열무,열무(전체),4kg,중품,4520,4520,3160
2015-05-20,열무,열무(전체),4kg,중품,4520,4520,3160
2015-05-21,열무,열무(전체),4kg,중품,4520,4520,3080
2015-05-22,열무,열무(전체),4kg,중품,4520,4520,2920
2015-05-26,열무,열무(전체),4kg,중품,4600,-,2640
2015-05-27,열무,열무(전체),4kg,중품,4760,4600,2160
2015-05-28,열무,열무(전체),4kg,중품,4920,4760,2160
2015-05-29,열무,열무(전체),4kg,중품,5160,4920,2160
2015-06-01,열무,열무(전체),4kg,중품,5240,-,-
