DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,오렌지,오렌지(전체),18kg,상품,59000,-,51600
2015-01-05,오렌지,오렌지(전체),18kg,상품,59000,-,-
2015-01-06,오렌지,오렌지(전체),18kg,상품,59000,59000,51600
2015-01-07,오렌지,오렌지(전체),18kg,상품,59000,59000,51600
2015-01-08,오렌지,오렌지(전체),18kg,상품,59000,59000,51600
2015-01-09,오렌지,오렌지(전체),18kg,상품,59000,59000,51600
2015-01-12,오렌지,오렌지(전체),18kg,상품,59000,-,-
2015-01-13,오렌지,오렌지(전체),18kg,상품,59000,59000,50600
2015-01-14,오렌지,오렌지(전체),18kg,상품,59000,59000,52600
2015-01-15,오렌지,오렌지(전체),18kg,상품,56000,59000,52600
2015-01-16,오렌지,오렌지(전체),18kg,상품,56000,56000,51600
2015-01-19,오렌지,오렌지(전체),18kg,상품,56000,-,-
2015-01-20,오렌지,오렌지(전체),18kg,상품,56000,56000,51600
2015-01-21,오렌지,오렌지(전체),18kg,상품,56000,56000,51600
2015-01-22,오렌지,오렌지(전체),18kg,상품,56000,56000,51600
2015-01-23,오렌지,오렌지(전체),18kg,상품,56000,56000,51600
2015-01-26,오렌지,오렌지(전체),18kg,상품,56000,-,-
2015-01-27,오렌지,오렌지(전체),18kg,상품,56000,56000,51600
2015-01-28,오렌지,오렌지(전체),18kg,상품,56000,56000,51600
2015-01-29,오렌지,오렌지(전체),18kg,상품,56000,56000,51600
2015-01-30,오렌지,오렌지(전체),18kg,상품,56000,56000,-
2015-02-02,오렌지,오렌지(전체),18kg,상품,56000,-,-
2015-02-03,오렌지,오렌지(전체),18kg,상품,56000,56000,51600
2015-02-04,오렌지,오렌지(전체),18kg,상품,57400,56000,52200
2015-02-05,오렌지,오렌지(전체),18kg,상품,57400,57400,52200
2015-02-06,오렌지,오렌지(전체),18kg,상품,57400,57400,53200
2015-02-09,오렌지,오렌지(전체),18kg,상품,58400,-,-
2015-02-10,오렌지,오렌지(전체),18kg,상품,59400,58400,53200
2015-02-11,오렌지,오렌지(전체),18kg,상품,59400,59400,53800
2015-02-12,오렌지,오렌지(전체),18kg,상품,59400,59400,55600
2015-02-13,오렌지,오렌지(전체),18kg,상품,60000,59400,56000
2015-02-16,오렌지,오렌지(전체),18kg,상품,60000,-,-
2015-02-17,오렌지,오렌지(전체),18kg,상품,60000,60000,56000
2015-02-23,오렌지,오렌지(전체),18kg,상품,60000,-,-
2015-02-24,오렌지,오렌지(전체),18kg,상품,60000,60000,55000
2015-02-25,오렌지,오렌지(전체),18kg,상품,60000,60000,55000
2015-02-26,오렌지,오렌지(전체),18kg,상품,60000,60000,55000
2015-02-27,오렌지,오렌지(전체),18kg,상품,60000,60000,55000
2015-03-02,오렌지,오렌지(전체),18kg,상품,59000,-,-
2015-03-03,오렌지,오렌지(전체),18kg,상품,59000,59000,55000
2015-03-04,오렌지,오렌지(전체),18kg,상품,58000,59000,55000
2015-03-05,오렌지,오렌지(전체),18kg,상품,54400,58000,55000
2015-03-06,오렌지,오렌지(전체),18kg,상품,54000,54400,54400
2015-03-09,오렌지,오렌지(전체),18kg,상품,54000,-,-
2015-03-10,오렌지,오렌지(전체),18kg,상품,54000,54000,54400
2015-03-11,오렌지,오렌지(전체),18kg,상품,53000,54000,54400
2015-03-12,오렌지,오렌지(전체),18kg,상품,53000,53000,54400
2015-03-13,오렌지,오렌지(전체),18kg,상품,53000,53000,54400
2015-03-16,오렌지,오렌지(전체),18kg,상품,53000,-,-
2015-03-17,오렌지,오렌지(전체),18kg,상품,53000,53000,53800
2015-03-18,오렌지,오렌지(전체),18kg,상품,53000,53000,53200
2015-03-19,오렌지,오렌지(전체),18kg,상품,53000,53000,53200
2015-03-20,오렌지,오렌지(전체),18kg,상품,50400,53000,53200
2015-03-23,오렌지,오렌지(전체),18kg,상품,47600,-,-
2015-03-24,오렌지,오렌지(전체),18kg,상품,47600,47600,53200
2015-03-25,오렌지,오렌지(전체),18kg,상품,46600,47600,53200
2015-03-26,오렌지,오렌지(전체),18kg,상품,46600,46600,53200
2015-03-27,오렌지,오렌지(전체),18kg,상품,46600,46600,53200
2015-03-30,오렌지,오렌지(전체),18kg,상품,46600,-,-
2015-03-31,오렌지,오렌지(전체),18kg,상품,46600,46600,53200
2015-04-01,오렌지,오렌지(전체),18kg,상품,46600,46600,53200
2015-04-02,오렌지,오렌지(전체),18kg,상품,46600,46600,53200
2015-04-03,오렌지,오렌지(전체),18kg,상품,46600,46600,53200
2015-04-06,오렌지,오렌지(전체),18kg,상품,47200,-,-
2015-04-07,오렌지,오렌지(전체),18kg,상품,47200,47200,52400
2015-04-08,오렌지,오렌지(전체),18kg,상품,47200,47200,52800
2015-04-09,오렌지,오렌지(전체),18kg,상품,47200,47200,49200
2015-04-10,오렌지,오렌지(전체),18kg,상품,47200,47200,49200
2015-04-13,오렌지,오렌지(전체),18kg,상품,47200,-,-
2015-04-14,오렌지,오렌지(전체),18kg,상품,47200,47200,49200
2015-04-15,오렌지,오렌지(전체),18kg,상품,47200,47200,49200
2015-04-16,오렌지,오렌지(전체),18kg,상품,47200,47200,49200
2015-04-17,오렌지,오렌지(전체),18kg,상품,49800,47200,49200
2015-04-20,오렌지,오렌지(전체),18kg,상품,49800,-,-
2015-04-21,오렌지,오렌지(전체),18kg,상품,50400,49800,49600
2015-04-22,오렌지,오렌지(전체),18kg,상품,51200,50400,49600
2015-04-23,오렌지,오렌지(전체),18kg,상품,51200,51200,49600
2015-04-24,오렌지,오렌지(전체),18kg,상품,51200,51200,49600
2015-04-27,오렌지,오렌지(전체),18kg,상품,51800,-,-
2015-04-28,오렌지,오렌지(전체),18kg,상품,51800,51800,50000
2015-04-29,오렌지,오렌지(전체),18kg,상품,51800,51800,50000
2015-04-30,오렌지,오렌지(전체),18kg,상품,55200,51800,50000
2015-05-04,오렌지,오렌지(전체),18kg,상품,56600,-,-
2015-05-06,오렌지,오렌지(전체),18kg,상품,56600,-,-
2015-05-07,오렌지,오렌지(전체),18kg,상품,56600,56600,50000
2015-05-08,오렌지,오렌지(전체),18kg,상품,57400,56600,50600
2015-05-11,오렌지,오렌지(전체),18kg,상품,57600,-,-
2015-05-12,오렌지,오렌지(전체),18kg,상품,58000,57600,52200
2015-05-13,오렌지,오렌지(전체),18kg,상품,58000,58000,52200
2015-05-14,오렌지,오렌지(전체),18kg,상품,58000,58000,52200
2015-05-15,오렌지,오렌지(전체),18kg,상품,58000,58000,55000
2015-05-18,오렌지,오렌지(전체),18kg,상품,58000,-,-
2015-05-19,오렌지,오렌지(전체),18kg,상품,58000,58000,57000
2015-05-20,오렌지,오렌지(전체),18kg,상품,58000,58000,57000
2015-05-21,오렌지,오렌지(전체),18kg,상품,58000,58000,57000
2015-05-22,오렌지,오렌지(전체),18kg,상품,58000,58000,57000
2015-05-26,오렌지,오렌지(전체),18kg,상품,58000,-,57000
2015-05-27,오렌지,오렌지(전체),18kg,상품,58000,58000,57000
2015-05-28,오렌지,오렌지(전체),18kg,상품,58000,58000,57000
2015-05-29,오렌지,오렌지(전체),18kg,상품,58000,58000,57000
2015-06-01,오렌지,오렌지(전체),18kg,상품,58000,-,-
2015-06-02,오렌지,오렌지(전체),18kg,상품,57600,58000,57000
2015-06-03,오렌지,오렌지(전체),18kg,상품,57600,57600,57000
2015-06-04,오렌지,오렌지(전체),18kg,상품,57600,57600,-
2015-06-05,오렌지,오렌지(전체),18kg,상품,57600,57600,57000
2015-06-08,오렌지,오렌지(전체),18kg,상품,57600,-,-
2015-06-09,오렌지,오렌지(전체),18kg,상품,57600,57600,52600
