DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,오렌지,오렌지(전체),18kg,중품,54000,-,46600
2015-01-05,오렌지,오렌지(전체),18kg,중품,54000,-,-
2015-01-06,오렌지,오렌지(전체),18kg,중품,54000,54000,46600
2015-01-07,오렌지,오렌지(전체),18kg,중품,54000,54000,46600
2015-01-08,오렌지,오렌지(전체),18kg,중품,54000,54000,46600
2015-01-09,오렌지,오렌지(전체),18kg,중품,54000,54000,46600
2015-01-12,오렌지,오렌지(전체),18kg,중품,54000,-,-
2015-01-13,오렌지,오렌지(전체),18kg,중품,54000,54000,45600
2015-01-14,오렌지,오렌지(전체),18kg,중품,54000,54000,47600
2015-01-15,오렌지,오렌지(전체),18kg,중품,51000,54000,47600
2015-01-16,오렌지,오렌지(전체),18kg,중품,51000,51000,46600
2015-01-19,오렌지,오렌지(전체),18kg,중품,51000,-,-
2015-01-20,오렌지,오렌지(전체),18kg,중품,51000,51000,46600
2015-01-21,오렌지,오렌지(전체),18kg,중품,51000,51000,46600
2015-01-22,오렌지,오렌지(전체),18kg,중품,51000,51000,46600
2015-01-23,오렌지,오렌지(전체),18kg,중품,51000,51000,46600
2015-01-26,오렌지,오렌지(전체),18kg,중품,51000,-,-
2015-01-27,오렌지,오렌지(전체),18kg,중품,51000,51000,46600
2015-01-28,오렌지,오렌지(전체),18kg,중품,51000,51000,46600
2015-01-29,오렌지,오렌지(전체),18kg,중품,51000,51000,46600
2015-01-30,오렌지,오렌지(전체),18kg,중품,51000,51000,-
2015-02-02,오렌지,오렌지(전체),18kg,중품,51000,-,-
2015-02-03,오렌지,오렌지(전체),18kg,중품,51000,51000,46600
2015-02-04,오렌지,오렌지(전체),18kg,중품,52400,51000,47200
2015-02-05,오렌지,오렌지(전체),18kg,중품,52400,52400,47200
2015-02-06,오렌지,오렌지(전체),18kg,중품,52400,52400,48200
2015-02-09,오렌지,오렌지(전체),18kg,중품,53400,-,-
2015-02-10,오렌지,오렌지(전체),18kg,중품,53400,53400,48200
2015-02-11,오렌지,오렌지(전체),18kg,중품,53400,53400,48800
2015-02-12,오렌지,오렌지(전체),18kg,중품,53400,53400,50600
2015-02-13,오렌지,오렌지(전체),18kg,중품,53400,53400,51200
2015-02-16,오렌지,오렌지(전체),18kg,중품,53400,-,-
2015-02-17,오렌지,오렌지(전체),18kg,중품,53400,53400,51600
2015-02-23,오렌지,오렌지(전체),18kg,중품,53400,-,-
2015-02-24,오렌지,오렌지(전체),18kg,중품,53400,53400,50600
2015-02-25,오렌지,오렌지(전체),18kg,중품,54400,53400,50600
2015-02-26,오렌지,오렌지(전체),18kg,중품,54400,54400,50600
2015-02-27,오렌지,오렌지(전체),18kg,중품,54400,54400,50600
2015-03-02,오렌지,오렌지(전체),18kg,중품,54000,-,-
2015-03-03,오렌지,오렌지(전체),18kg,중품,54000,54000,50600
2015-03-04,오렌지,오렌지(전체),18kg,중품,53000,54000,50600
2015-03-05,오렌지,오렌지(전체),18kg,중품,48600,53000,50600
2015-03-06,오렌지,오렌지(전체),18kg,중품,48000,48600,50000
2015-03-09,오렌지,오렌지(전체),18kg,중품,48000,-,-
2015-03-10,오렌지,오렌지(전체),18kg,중품,48000,48000,50000
2015-03-11,오렌지,오렌지(전체),18kg,중품,48000,48000,50000
2015-03-12,오렌지,오렌지(전체),18kg,중품,48000,48000,50000
2015-03-13,오렌지,오렌지(전체),18kg,중품,48000,48000,50000
2015-03-16,오렌지,오렌지(전체),18kg,중품,48000,-,-
2015-03-17,오렌지,오렌지(전체),18kg,중품,48000,48000,49400
2015-03-18,오렌지,오렌지(전체),18kg,중품,48000,48000,48200
2015-03-19,오렌지,오렌지(전체),18kg,중품,48000,48000,48200
2015-03-20,오렌지,오렌지(전체),18kg,중품,45600,48000,48200
2015-03-23,오렌지,오렌지(전체),18kg,중품,42000,-,-
2015-03-24,오렌지,오렌지(전체),18kg,중품,42000,42000,48200
2015-03-25,오렌지,오렌지(전체),18kg,중품,41000,42000,48200
2015-03-26,오렌지,오렌지(전체),18kg,중품,41000,41000,48200
2015-03-27,오렌지,오렌지(전체),18kg,중품,41000,41000,48200
2015-03-30,오렌지,오렌지(전체),18kg,중품,41000,-,-
2015-03-31,오렌지,오렌지(전체),18kg,중품,41000,41000,48200
2015-04-01,오렌지,오렌지(전체),18kg,중품,41000,41000,48200
2015-04-02,오렌지,오렌지(전체),18kg,중품,41000,41000,48200
2015-04-03,오렌지,오렌지(전체),18kg,중품,41000,41000,48200
2015-04-06,오렌지,오렌지(전체),18kg,중품,41600,-,-
2015-04-07,오렌지,오렌지(전체),18kg,중품,41600,41600,47200
2015-04-08,오렌지,오렌지(전체),18kg,중품,41600,41600,47800
2015-04-09,오렌지,오렌지(전체),18kg,중품,41600,41600,44200
2015-04-10,오렌지,오렌지(전체),18kg,중품,41600,41600,44200
2015-04-13,오렌지,오렌지(전체),18kg,중품,41600,-,-
2015-04-14,오렌지,오렌지(전체),18kg,중품,41600,41600,44200
2015-04-15,오렌지,오렌지(전체),18kg,중품,41600,41600,44200
2015-04-16,오렌지,오렌지(전체),18kg,중품,41600,41600,44200
2015-04-17,오렌지,오렌지(전체),18kg,중품,43800,41600,44200
2015-04-20,오렌지,오렌지(전체),18kg,중품,43800,-,-
2015-04-21,오렌지,오렌지(전체),18kg,중품,44400,43800,44200
2015-04-22,오렌지,오렌지(전체),18kg,중품,45200,44400,44200
2015-04-23,오렌지,오렌지(전체),18kg,중품,45200,45200,44200
2015-04-24,오렌지,오렌지(전체),18kg,중품,45200,45200,44200
2015-04-27,오렌지,오렌지(전체),18kg,중품,45800,-,-
2015-04-28,오렌지,오렌지(전체),18kg,중품,45800,45800,44600
2015-04-29,오렌지,오렌지(전체),18kg,중품,45800,45800,44600
2015-04-30,오렌지,오렌지(전체),18kg,중품,48600,45800,44600
2015-05-04,오렌지,오렌지(전체),18kg,중품,49800,-,-
2015-05-06,오렌지,오렌지(전체),18kg,중품,49800,-,-
2015-05-07,오렌지,오렌지(전체),18kg,중품,49800,49800,44600
2015-05-08,오렌지,오렌지(전체),18kg,중품,50800,49800,45000
2015-05-11,오렌지,오렌지(전체),18kg,중품,51000,-,-
2015-05-12,오렌지,오렌지(전체),18kg,중품,51400,51000,46600
2015-05-13,오렌지,오렌지(전체),18kg,중품,51400,51400,46600
2015-05-14,오렌지,오렌지(전체),18kg,중품,51400,51400,46600
2015-05-15,오렌지,오렌지(전체),18kg,중품,51400,51400,49400
2015-05-18,오렌지,오렌지(전체),18kg,중품,51400,-,-
2015-05-19,오렌지,오렌지(전체),18kg,중품,51400,51400,51400
2015-05-20,오렌지,오렌지(전체),18kg,중품,51400,51400,51400
2015-05-21,오렌지,오렌지(전체),18kg,중품,51400,51400,51400
2015-05-22,오렌지,오렌지(전체),18kg,중품,51400,51400,51400
2015-05-26,오렌지,오렌지(전체),18kg,중품,51400,-,51400
2015-05-27,오렌지,오렌지(전체),18kg,중품,51400,51400,51400
2015-05-28,오렌지,오렌지(전체),18kg,중품,51400,51400,51400
2015-05-29,오렌지,오렌지(전체),18kg,중품,51400,51400,51400
2015-06-01,오렌지,오렌지(전체),18kg,중품,51400,-,-
2015-06-02,오렌지,오렌지(전체),18kg,중품,50800,51400,51400
2015-06-03,오렌지,오렌지(전체),18kg,중품,50800,50800,51400
2015-06-04,오렌지,오렌지(전체),18kg,중품,50800,50800,-
2015-06-05,오렌지,오렌지(전체),18kg,중품,50800,50800,51400
2015-06-08,오렌지,오렌지(전체),18kg,중품,50800,-,-
2015-06-09,오렌지,오렌지(전체),18kg,중품,50800,50800,48200
2015-06-10,오렌지,오렌지(전체),18kg,중품,50800,50800,46400
2015-06-11,오렌지,오렌지(전체),18kg,중품,50800,50800,46400
2015-06-12,오렌지,오렌지(전체),18kg,중품,50800,50800,46400
2015-06-15,오렌지,오렌지(전체),18kg,중품,50800,-,-
2015-06-16,오렌지,오렌지(전체),18kg,중품,50800,50800,44200
2015-06-17,오렌지,오렌지(전체),18kg,중품,50800,50800,43200
2015-06-18,오렌지,오렌지(전체),18kg,중품,50800,50800,43200
2015-06-19,오렌지,오렌지(전체),18kg,중품,50800,50800,43200
2015-06-22,오렌지,오렌지(전체),18kg,중품,50800,-,-
2015-06-23,오렌지,오렌지(전체),18kg,중품,50800,50800,43200
2015-06-24,오렌지,오렌지(전체),18kg,중품,50800,50800,42800
2015-06-25,오렌지,오렌지(전체),18kg,중품,50800,50800,42800
2015-06-26,오렌지,오렌지(전체),18kg,중품,50800,50800,42800
2015-06-29,오렌지,오렌지(전체),18kg,중품,39800,-,-
2015-06-30,오렌지,오렌지(전체),18kg,중품,40400,39800,42800
2015-07-01,오렌지,오렌지(전체),18kg,중품,40400,40400,42800
2015-07-02,오렌지,오렌지(전체),18kg,중품,40400,40400,42800
2015-07-03,오렌지,오렌지(전체),18kg,중품,40400,40400,42000
2015-07-06,오렌지,오렌지(전체),18kg,중품,40000,-,-
2015-07-07,오렌지,오렌지(전체),18kg,중품,40000,40000,42000
2015-07-08,오렌지,오렌지(전체),18kg,중품,40000,40000,42000
2015-07-09,오렌지,오렌지(전체),18kg,중품,39400,40000,42000
2015-07-10,오렌지,오렌지(전체),18kg,중품,39400,39400,40000
2015-07-13,오렌지,오렌지(전체),18kg,중품,39400,-,-
2015-07-14,오렌지,오렌지(전체),18kg,중품,39400,39400,40000
2015-07-15,오렌지,오렌지(전체),18kg,중품,39400,39400,38800
