DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2018-08-31,콩,콩(전체),40kg,중품,191771,-,-
2018-09-03,콩,콩(전체),40kg,중품,191771,-,-
2018-09-04,콩,콩(전체),40kg,중품,191771,191771.4,-
2018-09-05,콩,콩(전체),40kg,중품,191771,191771.4,-
2018-09-06,콩,콩(전체),40kg,중품,191771,191771.4,-
2018-09-07,콩,콩(전체),40kg,중품,191771,191771.4,-
2018-09-10,콩,콩(전체),40kg,중품,191771,-,-
2022-03-25,콩,콩(전체),40kg,중품,221714,-,-
2022-03-28,콩,콩(전체),40kg,중품,221714,-,-
2022-03-29,콩,콩(전체),40kg,중품,221714,221714.5,-
2022-03-30,콩,콩(전체),40kg,중품,221714,221714.5,-
2022-03-31,콩,콩(전체),40kg,중품,221714,221714.5,-
2022-04-01,콩,콩(전체),40kg,중품,221714,221714.5,-
2022-04-04,콩,콩(전체),40kg,중품,222000,-,-
2022-04-05,콩,콩(전체),40kg,중품,222000,222000,-
2022-04-06,콩,콩(전체),40kg,중품,222000,222000,-
2022-04-07,콩,콩(전체),40kg,중품,222000,222000,-
2022-04-08,콩,콩(전체),40kg,중품,221500,222000,-
2022-04-11,콩,콩(전체),40kg,중품,221500,-,-
2022-04-12,콩,콩(전체),40kg,중품,221500,221500,-
2022-04-13,콩,콩(전체),40kg,중품,221500,221500,-
2022-04-14,콩,콩(전체),40kg,중품,221500,221500,-
2022-04-15,콩,콩(전체),40kg,중품,221500,221500,-
2022-04-18,콩,콩(전체),40kg,중품,221500,-,-
2022-04-19,콩,콩(전체),40kg,중품,223000,221500,-
2022-04-20,콩,콩(전체),40kg,중품,223000,223000,-
2022-04-21,콩,콩(전체),40kg,중품,223000,223000,-
2022-04-22,콩,콩(전체),40kg,중품,224000,223000,-
2022-04-25,콩,콩(전체),40kg,중품,224000,-,-
2022-04-26,콩,콩(전체),40kg,중품,224000,224000,-
2022-04-27,콩,콩(전체),40kg,중품,224000,224000,-
2022-04-28,콩,콩(전체),40kg,중품,224000,224000,-
2022-04-29,콩,콩(전체),40kg,중품,224000,224000,-
2022-05-02,콩,콩(전체),40kg,중품,224000,-,-
2022-05-03,콩,콩(전체),40kg,중품,224000,224000,-
2022-05-04,콩,콩(전체),40kg,중품,224000,224000,-
2022-05-06,콩,콩(전체),40kg,중품,224000,-,-
2022-05-09,콩,콩(전체),40kg,중품,224000,-,-
2022-05-10,콩,콩(전체),40kg,중품,226000,224000,-
2022-05-11,콩,콩(전체),40kg,중품,226000,226000,-
2022-05-12,콩,콩(전체),40kg,중품,226000,226000,-
2022-05-13,콩,콩(전체),40kg,중품,226000,226000,-
2022-05-16,콩,콩(전체),40kg,중품,226000,-,-
2022-05-17,콩,콩(전체),40kg,중품,226000,226000,-
