DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,팽이버섯,팽이버섯(전체),5kg,상품,16400,-,19000
2015-01-05,팽이버섯,팽이버섯(전체),5kg,상품,16400,-,-
2015-01-06,팽이버섯,팽이버섯(전체),5kg,상품,16200,16400,22600
2015-01-07,팽이버섯,팽이버섯(전체),5kg,상품,15400,16200,20800
2015-01-08,팽이버섯,팽이버섯(전체),5kg,상품,14400,15400,18200
2015-01-09,팽이버섯,팽이버섯(전체),5kg,상품,13400,14400,16000
2015-01-12,팽이버섯,팽이버섯(전체),5kg,상품,13200,-,-
2015-01-13,팽이버섯,팽이버섯(전체),5kg,상품,12200,13200,14200
2015-01-14,팽이버섯,팽이버섯(전체),5kg,상품,12200,12200,14200
2015-01-15,팽이버섯,팽이버섯(전체),5kg,상품,12200,12200,14200
2015-01-16,팽이버섯,팽이버섯(전체),5kg,상품,12000,12200,14600
2015-01-19,팽이버섯,팽이버섯(전체),5kg,상품,12000,-,-
2015-01-20,팽이버섯,팽이버섯(전체),5kg,상품,12000,12000,14600
2015-01-21,팽이버섯,팽이버섯(전체),5kg,상품,11400,12000,14600
2015-01-22,팽이버섯,팽이버섯(전체),5kg,상품,10800,11400,14600
2015-01-23,팽이버섯,팽이버섯(전체),5kg,상품,10800,10800,13600
2015-01-26,팽이버섯,팽이버섯(전체),5kg,상품,10800,-,-
2015-01-27,팽이버섯,팽이버섯(전체),5kg,상품,11400,10800,11600
2015-01-28,팽이버섯,팽이버섯(전체),5kg,상품,11600,11400,11600
2015-01-29,팽이버섯,팽이버섯(전체),5kg,상품,11600,11600,11400
2015-01-30,팽이버섯,팽이버섯(전체),5kg,상품,11600,11600,-
2015-02-02,팽이버섯,팽이버섯(전체),5kg,상품,11600,-,-
2015-02-03,팽이버섯,팽이버섯(전체),5kg,상품,11600,11600,11200
2015-02-04,팽이버섯,팽이버섯(전체),5kg,상품,13200,11600,11000
2015-02-05,팽이버섯,팽이버섯(전체),5kg,상품,13200,13200,10000
2015-02-06,팽이버섯,팽이버섯(전체),5kg,상품,13200,13200,10000
2015-02-09,팽이버섯,팽이버섯(전체),5kg,상품,14400,-,-
2015-02-10,팽이버섯,팽이버섯(전체),5kg,상품,14400,14400,9200
2015-02-11,팽이버섯,팽이버섯(전체),5kg,상품,14600,14400,9200
2015-02-12,팽이버섯,팽이버섯(전체),5kg,상품,13800,14600,9200
2015-02-13,팽이버섯,팽이버섯(전체),5kg,상품,13800,13800,9200
2015-02-16,팽이버섯,팽이버섯(전체),5kg,상품,14000,-,-
2015-02-17,팽이버섯,팽이버섯(전체),5kg,상품,13600,14000,9000
2015-02-23,팽이버섯,팽이버섯(전체),5kg,상품,12400,-,-
2015-02-24,팽이버섯,팽이버섯(전체),5kg,상품,12000,12400,8400
2015-02-25,팽이버섯,팽이버섯(전체),5kg,상품,11200,12000,8600
2015-02-26,팽이버섯,팽이버섯(전체),5kg,상품,10000,11200,8800
2015-02-27,팽이버섯,팽이버섯(전체),5kg,상품,10000,10000,8600
2015-03-02,팽이버섯,팽이버섯(전체),5kg,상품,9400,-,-
2015-03-03,팽이버섯,팽이버섯(전체),5kg,상품,9400,9400,8800
2015-03-04,팽이버섯,팽이버섯(전체),5kg,상품,9400,9400,9000
2015-03-05,팽이버섯,팽이버섯(전체),5kg,상품,9000,9400,10000
2015-03-06,팽이버섯,팽이버섯(전체),5kg,상품,9000,9000,10800
2015-03-09,팽이버섯,팽이버섯(전체),5kg,상품,9200,-,-
2015-03-10,팽이버섯,팽이버섯(전체),5kg,상품,9300,9200,10600
2015-03-11,팽이버섯,팽이버섯(전체),5kg,상품,9800,9300,10800
2015-03-12,팽이버섯,팽이버섯(전체),5kg,상품,9800,9800,11200
2015-03-13,팽이버섯,팽이버섯(전체),5kg,상품,9400,9800,10800
2015-03-16,팽이버섯,팽이버섯(전체),5kg,상품,9800,-,-
