DATE,품목,품종,거래단위,등급,평균가격,전일,전년
2015-01-02,호두,호두(전체),100g,중품,2651,-,2907.702702702703
2015-01-05,호두,호두(전체),100g,중품,2651,-,-
2015-01-06,호두,호두(전체),100g,중품,2651,2651.25,2907.702702702703
2015-01-07,호두,호두(전체),100g,중품,2614,2651.25,2907.702702702703
2015-01-08,호두,호두(전체),100g,중품,2581,2613.75,2907.702702702703
2015-01-09,호두,호두(전체),100g,중품,2582,2581.25,2903.648648648649
2015-01-12,호두,호두(전체),100g,중품,2582,-,-
2015-01-13,호두,호두(전체),100g,중품,2582,2582.5,2884.729729729729
2015-01-14,호두,호두(전체),100g,중품,2584,2582.5,2884.729729729729
2015-01-15,호두,호두(전체),100g,중품,2801,2583.875,2853.378378378378
2015-01-16,호두,호두(전체),100g,중품,2801,2801.375,2873.108108108108
2015-01-19,호두,호두(전체),100g,중품,2801,-,-
2015-01-20,호두,호두(전체),100g,중품,2801,2801.375,2873.108108108108
2015-01-21,호두,호두(전체),100g,중품,2803,2801.375,2873.108108108108
2015-01-22,호두,호두(전체),100g,중품,2804,2802.625,2893.108108108108
2015-01-23,호두,호두(전체),100g,중품,2815,2803.75,2893.108108108108
2015-01-26,호두,호두(전체),100g,중품,2844,-,-
2015-01-27,호두,호두(전체),100g,중품,2844,2843.5,2893.108108108108
2015-01-28,호두,호두(전체),100g,중품,2838,2844.25,2893.108108108108
2015-01-29,호두,호두(전체),100g,중품,2576,2838.25,2893.108108108108
2015-01-30,호두,호두(전체),100g,중품,2565,2575.75,-
2015-02-02,호두,호두(전체),100g,중품,2565,-,-
2015-02-03,호두,호두(전체),100g,중품,2565,2564.75,2869
2015-02-04,호두,호두(전체),100g,중품,2584,2564.75,2869
2015-02-05,호두,호두(전체),100g,중품,2584,2584.25,2869
2015-02-06,호두,호두(전체),100g,중품,2552,2584.25,2871
2015-02-09,호두,호두(전체),100g,중품,2552,-,-
2015-02-10,호두,호두(전체),100g,중품,2552,2551.75,2868
2015-02-11,호두,호두(전체),100g,중품,2550,2551.75,2925
2015-02-12,호두,호두(전체),100g,중품,2808,2550.25,2913
2015-02-13,호두,호두(전체),100g,중품,2795,2807.5,2913
2015-02-16,호두,호두(전체),100g,중품,2795,-,-
2015-02-17,호두,호두(전체),100g,중품,2795,2795.25,2913
2015-02-23,호두,호두(전체),100g,중품,2783,-,-
2015-02-24,호두,호두(전체),100g,중품,2783,2783,2945
2015-02-25,호두,호두(전체),100g,중품,2783,2783,2944
2015-02-26,호두,호두(전체),100g,중품,2516,2783,2944
2015-02-27,호두,호두(전체),100g,중품,2516,2516.25,2933
2015-03-02,호두,호두(전체),100g,중품,2566,-,-
2015-03-03,호두,호두(전체),100g,중품,2566,2566,2952
2015-03-04,호두,호두(전체),100g,중품,2518,2566,2937
2015-03-05,호두,호두(전체),100g,중품,2434,2518.5,2911
2015-03-06,호두,호두(전체),100g,중품,2434,2433.75,2911
