일일경제지표('19.10.4)
"data_date,2019-10-04"

[표]
일일경제지표 (19. 10. 4. 금) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.9 말,10.1,10.2,10.4,전일비,18말비
콜금리 (1일),1.55,1.82,1.54,1.58,1.55,1.51,△0.04,△0.31
CD (91 일),1.66,1.93,1.55,1.55,1.55,1.55,0,△0.38
국고채 (3년),2.14,1.82,1.30,1.32,1.30,1.21,△0.09,△0.61
"회사채 (3년, AA-)",2.68,2.29,1.80,1.82,1.81,1.72,△0.09,△0.57
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","2,797","1,113","1,498","9,801","8,303",-

[주가]
,‘17 말,‘18 말,‘19.9 말,10.1,10.2,10.4,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,063.05","2,072.42","2,031.91","2,020.69",△0.55%,△1.00%
"- 거래대금 (억원, 일평균)","42,744","41,207","34,892","37,091","38,699","39,339",1.65%,-
KOSDAQ,798.42,675.65,621.76,632.10,642.51,621.84,△3.22%,△7.96%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730",△534,"△1,324","△1,309","△1,681",28,-

[환율]
,‘17 말,‘18 말,‘19.9 말,10.1,10.2,10.4,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,196.20","1,199.00","1,206.00","1,196.80",△0.76,7.27
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,195.50","1,198.40","1,205.00","1,196.00",△0.75,7.27
￦/ CNY,163.90,162.79,167.55,167.75,168.70,167.39,△0.78,2.83
￦/ Y100,949.28,"1,008.86","1,109.54","1,107.52","1,118.84","1,120.70",0.17,11.09
Y/U$,112.77,110.59,107.81,108.26,107.79,106.79,△0.93,△3.44
U$/EUR,1.1927,1.1455,1.0935,1.0882,1.0924,1.0973,0.45,△4.21
CNY/U$,6.5426,6.8522,7.1255,7.1477,7.1477,7.1477,0,4.31

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.9 말,10.1,10.2,10.4,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.10,2.10,2.09,2.06,△0.03,△0.71
DOW,"24,719","23,062","26,820","26,917","26,573","26,201",△1.40%,13.61%
NIKKEI,"22,765","20,015","21,756","21,885","21,779","21,410",△1.69%,6.97%
SHANGHAI COMP,"3,307","2,494","2,905","2,905","2,905","2,905",0,16.49%
"외평채가산금리(23년물, bp)",76,63,38,37,37,37,0.00,△26.00
"CDS (5 년, bp)",56,40,34,34,35,34,0.54,△6.22
"CRS (1 년, %)",1.38,1.21,0.66,0.67,0.67,0.62,0.05,△0.59

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.9 말,9.30,10.1,10.2,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,60.94,60.94,59.22,57.44,△3.01%,8.66%
WTI 선물 ($/배럴),60.42,45.33,54.07,54.07,53.62,52.45,△2.18%,15.71%
밀 (센트/부셀),427,512,496,496,499,489,△2.00%,△4.49%
옥수수 (센트/부셀),351,376,388,388,393,389,△1.02%,3.46%
동 ($/톤),"7,157","6,018","5,728","5,728","5,610","5,626",0.29%,△6.51%
알루미늄 ($/톤),"2,242","1,881","1,704","1,704","1,706","1,697",△0.53%,△9.78%

[반도체]
,‘17,‘18,‘19.7 월,8월,9월,10.1,10.2,10.3,10월 (~3)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,3.39,3.53,3.26,3.17,3.13,3.12,3.14
"(%, YoY)",41.6,8.3,△57.6,△54.1,△55.8,△56.5,△57.1,△56.7,△55.7
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.20,5.42,5.69,5.71,5.73,5.74,5.73
"(%, YoY)",33.8,△2.6,△21.3,△14.3,△2.5,△0.7,△0.3,△0.3,△1.7
