item_id,Base_MAPE,Boost_MAPE,Improvement(%)
100g_medium,2.5,1.5,40.0
10_high_high,20.9,12.1,42.1
10_high_low,24.8,17.1,31.0
10_high_medium,17.6,13.5,23.3
10_high_top,70.6,17.9,74.6
35kg_medium,0.4,2.0,-400.0
500_high,34.6,16.0,53.8
500_low,57.3,26.2,54.3
500_medium,45.0,20.4,54.7
5_high_high,20.1,8.0,60.2
5_high_low,12.0,11.7,2.5
5_high_medium,17.7,8.6,51.4
5kg_high,2.8,2.2,21.4
5kg_medium,2.0,1.9,5.0
8_high,14.9,9.9,33.6
8_low,22.1,17.0,23.1
8_medium,19.1,13.9,27.2
apple_apple_10kg_high,1.3,2.5,-92.3
apple_apple_10kg_medium,1.4,2.4,-71.4
cabbage_10_net_high,7.8,4.5,42.3
cabbage_10_net_low,25.4,5.0,80.3
cabbage_10_net_medium,18.5,3.3,82.2
cabbage_10_net_top,12.2,4.6,62.3
cabbage_8_net_high,10.4,7.3,29.8
cabbage_8_net_low,33.9,16.5,51.3
cabbage_8_net_medium,18.4,9.1,50.5
cabbage_8_net_top,6.8,4.9,27.9
carrot_carrot_10kg_medium,2.4,1.9,20.8
carrot_carrot_20kg_high,3.1,1.8,41.9
carrot_carrot_20kg_medium,7.1,2.3,67.6
chwinamul_4_high_high,56.0,22.2,60.4
chwinamul_4_high_low,10.4,12.5,-20.2
chwinamul_4_high_medium,44.8,13.4,70.1
cucumber_100ea_high,10.8,7.4,31.5
cucumber_100ea_low,9.4,7.9,16.0
cucumber_100ea_medium,11.5,6.9,40.0
cucumber_100ea_top,15.1,8.3,45.0
cucumber_50ea_high,12.0,7.7,35.8
cucumber_50ea_low,12.7,7.9,37.8
cucumber_50ea_medium,10.5,7.0,33.3
cucumber_50ea_top,13.5,8.6,36.3
green_chili_green_chili_10kg_high,7.7,2.9,62.3
green_chili_green_chili_10kg_medium,4.0,1.5,62.5
green_chili_green_chili_4kg_high,9.1,5.0,45.1
green_chili_green_chili_4kg_medium,14.9,7.0,53.0
green_onion_10_high,34.5,8.0,76.8
green_onion_10_low,36.7,9.3,74.7
green_onion_10_medium,38.7,7.6,80.4
green_onion_10_top,20.1,6.1,69.7
green_onion_1_high,34.5,9.3,73.0
green_onion_1_low,36.8,8.9,75.8
green_onion_1_medium,39.0,9.8,74.9
green_onion_1_top,20.2,10.3,49.0
lettuce_4_high_high,35.7,16.0,55.2
lettuce_4_high_low,41.0,16.7,59.3
lettuce_4_high_medium,41.2,16.1,60.9
mandarin_3_high_high,12.6,6.0,52.4
mandarin_3_high_low,12.3,5.5,55.3
mandarin_3_high_medium,23.4,9.4,59.8
mandarin_3_high_top,6.8,4.0,41.2
mandarin_5_high_high,7.3,4.6,37.0
mandarin_5_high_low,16.9,7.6,55.0
mandarin_5_high_medium,7.4,5.3,28.4
mandarin_5_high_top,6.4,3.4,46.9
net_10_high_high,20.9,5.3,74.6
net_10_high_low,16.7,15.7,6.0
net_10_high_medium,14.3,10.5,26.6
net_10_high_top,11.2,8.1,27.7
onion_12_high,8.6,4.6,46.5
onion_12_low,15.5,5.3,65.8
onion_12_medium,9.5,3.9,58.9
onion_12_top,5.4,3.2,40.7
onion_15_high,3.4,1.6,52.9
onion_15_low,8.3,5.7,31.3
onion_15_medium,5.4,2.5,53.7
onion_15_top,2.2,1.7,22.7
onion_1_high,3.6,1.3,63.9
onion_1_low,12.1,5.0,58.7
onion_1_medium,5.3,4.0,24.5
onion_1_top,2.9,2.1,27.6
pear_pear_15kg_high,4.1,1.1,73.2
pear_pear_15kg_medium,4.4,1.9,56.8
perilla_leaf_100_high,37.6,13.2,64.9
perilla_leaf_100_low,29.4,13.6,53.7
perilla_leaf_100_medium,33.1,12.4,62.5
potato_potato_20kg_high,6.4,3.1,51.6
potato_potato_20kg_medium,3.8,1.9,50.0
radish_radish_4kg_high,5.0,2.8,44.0
radish_radish_4kg_medium,2.3,2.0,13.0
spinach_spinach_4kg_high,2.0,2.0,0.0
spinach_spinach_4kg_medium,4.2,1.8,57.1
sweet_potato_sweet_potato_1kg_high,3.9,3.2,17.9
sweet_potato_sweet_potato_1kg_medium,1.9,1.6,15.8
