item_id,method,RMSE,MAE,MAPE(%)
100g_medium,chronos_base,69.1,53.8,2.5
100g_medium,residual_boost,44.8,33.8,1.5
10_high_high,chronos_base,8127.2,6423.6,20.9
10_high_high,residual_boost,4347.6,3726.4,12.1
10_high_low,chronos_base,5686.5,4163.2,24.8
10_high_low,residual_boost,3407.0,3008.3,17.1
10_high_medium,chronos_base,5195.1,4100.9,17.6
10_high_medium,residual_boost,4381.6,3495.8,13.5
10_high_top,chronos_base,47199.1,45233.4,70.6
10_high_top,residual_boost,15788.2,12640.3,17.9
35kg_medium,chronos_base,552.0,519.1,0.4
35kg_medium,residual_boost,2503.2,2390.4,2.0
500_high,chronos_base,827.7,740.1,34.6
500_high,residual_boost,518.6,381.1,16.0
500_low,chronos_base,666.3,625.3,57.3
500_low,residual_boost,377.4,311.7,26.2
500_medium,chronos_base,786.0,708.5,45.0
500_medium,residual_boost,534.1,384.7,20.4
5_high_high,chronos_base,4575.0,4238.8,20.1
5_high_high,residual_boost,1972.8,1649.6,8.0
5_high_low,chronos_base,2307.8,1725.4,12.0
5_high_low,residual_boost,1907.8,1587.0,11.7
5_high_medium,chronos_base,3739.2,3194.3,17.7
5_high_medium,residual_boost,1853.7,1504.8,8.6
5kg_high,chronos_base,364.7,350.6,2.8
5kg_high,residual_boost,305.3,272.1,2.2
5kg_medium,chronos_base,245.7,189.7,2.0
5kg_medium,residual_boost,232.3,186.7,1.9
8_high,chronos_base,26910.1,19225.0,14.9
8_high,residual_boost,19135.7,12661.7,9.9
8_low,chronos_base,19412.8,13013.4,22.1
8_low,residual_boost,17661.6,11383.3,17.0
8_medium,chronos_base,29772.5,20712.8,19.1
8_medium,residual_boost,21608.5,14685.1,13.9
apple_apple_10kg_high,chronos_base,1698.8,1300.2,1.3
apple_apple_10kg_high,residual_boost,2866.1,2442.0,2.5
apple_apple_10kg_medium,chronos_base,1238.6,1093.8,1.4
apple_apple_10kg_medium,residual_boost,2279.8,1941.7,2.4
cabbage_10_net_high,chronos_base,800.0,693.1,7.8
cabbage_10_net_high,residual_boost,558.8,425.5,4.5
cabbage_10_net_low,chronos_base,1797.2,1534.4,25.4
cabbage_10_net_low,residual_boost,369.2,319.0,5.0
cabbage_10_net_medium,chronos_base,1689.6,1456.8,18.5
cabbage_10_net_medium,residual_boost,407.1,269.1,3.3
cabbage_10_net_top,chronos_base,1406.9,1231.5,12.2
cabbage_10_net_top,residual_boost,698.3,487.7,4.6
cabbage_8_net_high,chronos_base,887.2,676.5,10.4
cabbage_8_net_high,residual_boost,555.8,457.2,7.3
cabbage_8_net_low,chronos_base,873.2,606.0,33.9
cabbage_8_net_low,residual_boost,508.8,342.4,16.5
cabbage_8_net_medium,chronos_base,832.2,630.1,18.4
cabbage_8_net_medium,residual_boost,413.6,366.0,9.1
cabbage_8_net_top,chronos_base,998.0,624.6,6.8
cabbage_8_net_top,residual_boost,530.8,443.4,4.9
carrot_carrot_10kg_medium,chronos_base,351.1,279.7,2.4
carrot_carrot_10kg_medium,residual_boost,252.8,221.6,1.9
carrot_carrot_20kg_high,chronos_base,959.6,896.0,3.1
carrot_carrot_20kg_high,residual_boost,646.2,544.1,1.8
carrot_carrot_20kg_medium,chronos_base,1754.4,1615.0,7.1
carrot_carrot_20kg_medium,residual_boost,578.0,527.4,2.3
chwinamul_4_high_high,chronos_base,11483.1,10871.6,56.0
chwinamul_4_high_high,residual_boost,5304.7,4645.9,22.2
chwinamul_4_high_low,chronos_base,1905.4,1220.8,10.4
chwinamul_4_high_low,residual_boost,2511.9,1591.7,12.5
chwinamul_4_high_medium,chronos_base,8037.7,7846.6,44.8
chwinamul_4_high_medium,residual_boost,3378.7,2346.9,13.4
cucumber_100ea_high,chronos_base,12219.1,9012.5,10.8
cucumber_100ea_high,residual_boost,7797.5,6085.4,7.4
cucumber_100ea_low,chronos_base,3888.9,3153.3,9.4
cucumber_100ea_low,residual_boost,2951.9,2668.7,7.9
cucumber_100ea_medium,chronos_base,9225.9,6610.5,11.5
cucumber_100ea_medium,residual_boost,5537.9,3902.1,6.9
cucumber_100ea_top,chronos_base,20755.7,16394.6,15.1
cucumber_100ea_top,residual_boost,11219.0,8845.2,8.3
cucumber_50ea_high,chronos_base,9916.1,6412.4,12.0
cucumber_50ea_high,residual_boost,5601.6,3830.2,7.7
